Category: All categories

Week,bateria moto g5: (State of São Paulo)
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,14
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,20
2017-03-19,50
2017-03-26,42
2017-04-02,35
2017-04-09,37
2017-04-16,15
2017-04-23,49
2017-04-30,30
2017-05-07,51
2017-05-14,22
2017-05-21,45
2017-05-28,22
2017-06-04,29
2017-06-11,23
2017-06-18,71
2017-06-25,15
2017-07-02,48
2017-07-09,31
2017-07-16,53
2017-07-23,30
2017-07-30,100
2017-08-06,36
2017-08-13,35
2017-08-20,50
2017-08-27,21
2017-09-03,39
2017-09-10,22
2017-09-17,64
2017-09-24,49
2017-10-01,63
2017-10-08,15
2017-10-15,48
2017-10-22,41
2017-10-29,44
2017-11-05,41
2017-11-12,35
2017-11-19,67
2017-11-26,54
2017-12-03,43
2017-12-10,42
2017-12-17,46
2017-12-24,52
2017-12-31,63
2018-01-07,69
2018-01-14,35
2018-01-21,21
2018-01-28,55
2018-02-04,28
2018-02-11,58
2018-02-18,60
2018-02-25,27
2018-03-04,52
2018-03-11,46
2018-03-18,39
2018-03-25,28
2018-04-01,47
2018-04-08,27
2018-04-15,20
2018-04-22,27
2018-04-29,58
2018-05-06,54
2018-05-13,27
2018-05-20,28
2018-05-27,43
2018-06-03,46
2018-06-10,37
2018-06-17,27
2018-06-24,41
2018-07-01,21
2018-07-08,36
2018-07-15,42
2018-07-22,47
2018-07-29,39
2018-08-05,26
