Category: All categories

Week,bateria samsung: (State of São Paulo)
2016-12-25,62
2017-01-01,66
2017-01-08,91
2017-01-15,89
2017-01-22,64
2017-01-29,80
2017-02-05,83
2017-02-12,85
2017-02-19,66
2017-02-26,79
2017-03-05,92
2017-03-12,80
2017-03-19,64
2017-03-26,77
2017-04-02,59
2017-04-09,65
2017-04-16,85
2017-04-23,64
2017-04-30,84
2017-05-07,92
2017-05-14,97
2017-05-21,71
2017-05-28,81
2017-06-04,77
2017-06-11,78
2017-06-18,77
2017-06-25,69
2017-07-02,63
2017-07-09,55
2017-07-16,86
2017-07-23,85
2017-07-30,100
2017-08-06,66
2017-08-13,67
2017-08-20,73
2017-08-27,86
2017-09-03,91
2017-09-10,66
2017-09-17,49
2017-09-24,78
2017-10-01,54
2017-10-08,66
2017-10-15,82
2017-10-22,76
2017-10-29,86
2017-11-05,64
2017-11-12,58
2017-11-19,89
2017-11-26,81
2017-12-03,74
2017-12-10,62
2017-12-17,78
2017-12-24,69
2017-12-31,72
2018-01-07,70
2018-01-14,63
2018-01-21,74
2018-01-28,79
2018-02-04,70
2018-02-11,73
2018-02-18,73
2018-02-25,58
2018-03-04,72
2018-03-11,64
2018-03-18,66
2018-03-25,39
2018-04-01,65
2018-04-08,57
2018-04-15,80
2018-04-22,57
2018-04-29,63
2018-05-06,58
2018-05-13,49
2018-05-20,75
2018-05-27,62
2018-06-03,50
2018-06-10,64
2018-06-17,61
2018-06-24,43
2018-07-01,59
2018-07-08,73
2018-07-15,64
2018-07-22,62
2018-07-29,63
2018-08-05,59
