Category: All categories

Week,capinha mercado livre: (State of São Paulo)
2016-12-25,60
2017-01-01,98
2017-01-08,24
2017-01-15,53
2017-01-22,62
2017-01-29,38
2017-02-05,32
2017-02-12,23
2017-02-19,55
2017-02-26,64
2017-03-05,22
2017-03-12,58
2017-03-19,99
2017-03-26,30
2017-04-02,75
2017-04-09,79
2017-04-16,39
2017-04-23,15
2017-04-30,56
2017-05-07,54
2017-05-14,16
2017-05-21,32
2017-05-28,32
2017-06-04,84
2017-06-11,50
2017-06-18,46
2017-06-25,32
2017-07-02,68
2017-07-09,33
2017-07-16,57
2017-07-23,24
2017-07-30,61
2017-08-06,46
2017-08-13,75
2017-08-20,53
2017-08-27,76
2017-09-03,57
2017-09-10,77
2017-09-17,53
2017-09-24,37
2017-10-01,75
2017-10-08,81
2017-10-15,65
2017-10-22,43
2017-10-29,47
2017-11-05,43
2017-11-12,45
2017-11-19,100
2017-11-26,57
2017-12-03,37
2017-12-10,53
2017-12-17,73
2017-12-24,46
2017-12-31,84
2018-01-07,73
2018-01-14,44
2018-01-21,74
2018-01-28,22
2018-02-04,67
2018-02-11,63
2018-02-18,28
2018-02-25,71
2018-03-04,42
2018-03-11,56
2018-03-18,49
2018-03-25,37
2018-04-01,28
2018-04-08,36
2018-04-15,42
2018-04-22,65
2018-04-29,53
2018-05-06,43
2018-05-13,57
2018-05-20,29
2018-05-27,45
2018-06-03,14
2018-06-10,0
2018-06-17,36
2018-06-24,43
2018-07-01,60
2018-07-08,45
2018-07-15,30
2018-07-22,85
2018-07-29,49
2018-08-05,28
