Category: All categories

Week,carregador veicular: (State of São Paulo)
2016-12-25,70
2017-01-01,59
2017-01-08,32
2017-01-15,46
2017-01-22,47
2017-01-29,84
2017-02-05,80
2017-02-12,38
2017-02-19,47
2017-02-26,64
2017-03-05,74
2017-03-12,44
2017-03-19,23
2017-03-26,53
2017-04-02,60
2017-04-09,48
2017-04-16,71
2017-04-23,52
2017-04-30,64
2017-05-07,46
2017-05-14,79
2017-05-21,40
2017-05-28,79
2017-06-04,38
2017-06-11,50
2017-06-18,39
2017-06-25,48
2017-07-02,26
2017-07-09,75
2017-07-16,89
2017-07-23,73
2017-07-30,69
2017-08-06,76
2017-08-13,38
2017-08-20,31
2017-08-27,46
2017-09-03,41
2017-09-10,31
2017-09-17,38
2017-09-24,29
2017-10-01,53
2017-10-08,49
2017-10-15,81
2017-10-22,58
2017-10-29,63
2017-11-05,29
2017-11-12,52
2017-11-19,100
2017-11-26,86
2017-12-03,61
2017-12-10,91
2017-12-17,65
2017-12-24,56
2017-12-31,76
2018-01-07,73
2018-01-14,81
2018-01-21,51
2018-01-28,52
2018-02-04,75
2018-02-11,55
2018-02-18,85
2018-02-25,85
2018-03-04,63
2018-03-11,49
2018-03-18,42
2018-03-25,59
2018-04-01,36
2018-04-08,64
2018-04-15,64
2018-04-22,51
2018-04-29,61
2018-05-06,21
2018-05-13,50
2018-05-20,51
2018-05-27,46
2018-06-03,56
2018-06-10,53
2018-06-17,22
2018-06-24,36
2018-07-01,38
2018-07-08,38
2018-07-15,52
2018-07-22,72
2018-07-29,55
2018-08-05,69
