Category: Mobile Phones

Week,celular motorola: (Brazil)
2016-12-25,75
2017-01-01,80
2017-01-08,84
2017-01-15,81
2017-01-22,79
2017-01-29,42
2017-02-05,49
2017-02-12,42
2017-02-19,54
2017-02-26,64
2017-03-05,52
2017-03-12,65
2017-03-19,72
2017-03-26,66
2017-04-02,62
2017-04-09,51
2017-04-16,61
2017-04-23,44
2017-04-30,54
2017-05-07,56
2017-05-14,45
2017-05-21,59
2017-05-28,59
2017-06-04,50
2017-06-11,55
2017-06-18,64
2017-06-25,68
2017-07-02,51
2017-07-09,77
2017-07-16,63
2017-07-23,63
2017-07-30,41
2017-08-06,74
2017-08-13,53
2017-08-20,58
2017-08-27,64
2017-09-03,66
2017-09-10,82
2017-09-17,55
2017-09-24,56
2017-10-01,65
2017-10-08,54
2017-10-15,68
2017-10-22,58
2017-10-29,76
2017-11-05,74
2017-11-12,66
2017-11-19,100
2017-11-26,65
2017-12-03,87
2017-12-10,81
2017-12-17,86
2017-12-24,67
2017-12-31,64
2018-01-07,69
2018-01-14,53
2018-01-21,84
2018-01-28,63
2018-02-04,56
2018-02-11,73
2018-02-18,97
2018-02-25,75
2018-03-04,78
2018-03-11,87
2018-03-18,74
2018-03-25,87
2018-04-01,93
2018-04-08,49
2018-04-15,63
2018-04-22,69
2018-04-29,58
2018-05-06,80
2018-05-13,77
2018-05-20,65
2018-05-27,72
2018-06-03,68
2018-06-10,57
2018-06-17,75
2018-06-24,66
2018-07-01,87
2018-07-08,70
2018-07-15,74
2018-07-22,94
2018-07-29,90
2018-08-05,75
