Category: Mobile Phones

Week,celular motorola: (State of São Paulo)
2016-12-25,62
2017-01-01,70
2017-01-08,50
2017-01-15,31
2017-01-22,16
2017-01-29,71
2017-02-05,49
2017-02-12,32
2017-02-19,65
2017-02-26,67
2017-03-05,76
2017-03-12,45
2017-03-19,71
2017-03-26,62
2017-04-02,15
2017-04-09,49
2017-04-16,24
2017-04-23,46
2017-04-30,49
2017-05-07,48
2017-05-14,41
2017-05-21,50
2017-05-28,32
2017-06-04,39
2017-06-11,35
2017-06-18,56
2017-06-25,33
2017-07-02,96
2017-07-09,17
2017-07-16,25
2017-07-23,42
2017-07-30,47
2017-08-06,71
2017-08-13,39
2017-08-20,63
2017-08-27,47
2017-09-03,59
2017-09-10,87
2017-09-17,39
2017-09-24,38
2017-10-01,46
2017-10-08,59
2017-10-15,53
2017-10-22,44
2017-10-29,72
2017-11-05,45
2017-11-12,62
2017-11-19,89
2017-11-26,82
2017-12-03,70
2017-12-10,39
2017-12-17,100
2017-12-24,19
2017-12-31,52
2018-01-07,38
2018-01-14,82
2018-01-21,68
2018-01-28,53
2018-02-04,62
2018-02-11,65
2018-02-18,59
2018-02-25,59
2018-03-04,72
2018-03-11,58
2018-03-18,43
2018-03-25,77
2018-04-01,73
2018-04-08,45
2018-04-15,44
2018-04-22,67
2018-04-29,70
2018-05-06,89
2018-05-13,51
2018-05-20,68
2018-05-27,39
2018-06-03,36
2018-06-10,54
2018-06-17,60
2018-06-24,52
2018-07-01,39
2018-07-08,78
2018-07-15,46
2018-07-22,81
2018-07-29,57
2018-08-05,79
