Category: Shopping

Week,celular samsung: (State of São Paulo)
2016-12-25,83
2017-01-01,59
2017-01-08,73
2017-01-15,81
2017-01-22,51
2017-01-29,70
2017-02-05,57
2017-02-12,51
2017-02-19,57
2017-02-26,78
2017-03-05,76
2017-03-12,63
2017-03-19,73
2017-03-26,43
2017-04-02,44
2017-04-09,55
2017-04-16,52
2017-04-23,51
2017-04-30,70
2017-05-07,54
2017-05-14,57
2017-05-21,59
2017-05-28,53
2017-06-04,50
2017-06-11,53
2017-06-18,49
2017-06-25,77
2017-07-02,56
2017-07-09,51
2017-07-16,58
2017-07-23,46
2017-07-30,36
2017-08-06,60
2017-08-13,70
2017-08-20,53
2017-08-27,80
2017-09-03,66
2017-09-10,44
2017-09-17,44
2017-09-24,46
2017-10-01,61
2017-10-08,62
2017-10-15,39
2017-10-22,59
2017-10-29,50
2017-11-05,58
2017-11-12,62
2017-11-19,100
2017-11-26,81
2017-12-03,76
2017-12-10,82
2017-12-17,85
2017-12-24,59
2017-12-31,77
2018-01-07,63
2018-01-14,69
2018-01-21,63
2018-01-28,70
2018-02-04,51
2018-02-11,86
2018-02-18,72
2018-02-25,59
2018-03-04,54
2018-03-11,64
2018-03-18,54
2018-03-25,48
2018-04-01,57
2018-04-08,46
2018-04-15,54
2018-04-22,62
2018-04-29,72
2018-05-06,49
2018-05-13,54
2018-05-20,47
2018-05-27,59
2018-06-03,59
2018-06-10,67
2018-06-17,66
2018-06-24,49
2018-07-01,62
2018-07-08,71
2018-07-15,55
2018-07-22,63
2018-07-29,50
2018-08-05,58
