Category: Shopping

Week,iPhone 6: (State of São Paulo)
2016-12-25,59
2017-01-01,54
2017-01-08,60
2017-01-15,49
2017-01-22,56
2017-01-29,45
2017-02-05,51
2017-02-12,54
2017-02-19,52
2017-02-26,38
2017-03-05,53
2017-03-12,64
2017-03-19,46
2017-03-26,54
2017-04-02,48
2017-04-09,57
2017-04-16,48
2017-04-23,45
2017-04-30,53
2017-05-07,54
2017-05-14,48
2017-05-21,52
2017-05-28,54
2017-06-04,52
2017-06-11,59
2017-06-18,41
2017-06-25,58
2017-07-02,43
2017-07-09,41
2017-07-16,50
2017-07-23,54
2017-07-30,39
2017-08-06,38
2017-08-13,53
2017-08-20,58
2017-08-27,46
2017-09-03,40
2017-09-10,45
2017-09-17,32
2017-09-24,45
2017-10-01,50
2017-10-08,43
2017-10-15,35
2017-10-22,50
2017-10-29,31
2017-11-05,47
2017-11-12,48
2017-11-19,100
2017-11-26,38
2017-12-03,40
2017-12-10,28
2017-12-17,26
2017-12-24,35
2017-12-31,46
2018-01-07,50
2018-01-14,33
2018-01-21,24
2018-01-28,31
2018-02-04,29
2018-02-11,22
2018-02-18,39
2018-02-25,39
2018-03-04,30
2018-03-11,32
2018-03-18,32
2018-03-25,33
2018-04-01,30
2018-04-08,40
2018-04-15,24
2018-04-22,42
2018-04-29,26
2018-05-06,30
2018-05-13,36
2018-05-20,30
2018-05-27,27
2018-06-03,41
2018-06-10,28
2018-06-17,26
2018-06-24,22
2018-07-01,36
2018-07-08,24
2018-07-15,21
2018-07-22,34
2018-07-29,26
2018-08-05,29
