Category: All categories

Week,j7 prime dourado: (State of São Paulo)
2016-12-25,42
2017-01-01,33
2017-01-08,44
2017-01-15,42
2017-01-22,43
2017-01-29,49
2017-02-05,51
2017-02-12,58
2017-02-19,46
2017-02-26,51
2017-03-05,53
2017-03-12,93
2017-03-19,65
2017-03-26,41
2017-04-02,38
2017-04-09,67
2017-04-16,23
2017-04-23,44
2017-04-30,77
2017-05-07,72
2017-05-14,61
2017-05-21,51
2017-05-28,74
2017-06-04,36
2017-06-11,53
2017-06-18,42
2017-06-25,78
2017-07-02,54
2017-07-09,84
2017-07-16,62
2017-07-23,44
2017-07-30,48
2017-08-06,49
2017-08-13,45
2017-08-20,61
2017-08-27,74
2017-09-03,52
2017-09-10,43
2017-09-17,84
2017-09-24,53
2017-10-01,38
2017-10-08,58
2017-10-15,44
2017-10-22,49
2017-10-29,69
2017-11-05,49
2017-11-12,44
2017-11-19,100
2017-11-26,64
2017-12-03,64
2017-12-10,38
2017-12-17,51
2017-12-24,39
2017-12-31,28
2018-01-07,43
2018-01-14,40
2018-01-21,37
2018-01-28,34
2018-02-04,25
2018-02-11,40
2018-02-18,48
2018-02-25,54
2018-03-04,44
2018-03-11,50
2018-03-18,12
2018-03-25,25
2018-04-01,24
2018-04-08,27
2018-04-15,33
2018-04-22,27
2018-04-29,38
2018-05-06,30
2018-05-13,27
2018-05-20,31
2018-05-27,13
2018-06-03,9
2018-06-10,6
2018-06-17,43
2018-06-24,30
2018-07-01,22
2018-07-08,32
2018-07-15,16
2018-07-22,12
2018-07-29,21
2018-08-05,17
