Category: All categories

Week,pelicula de vidro: (State of São Paulo)
2016-12-25,86
2017-01-01,65
2017-01-08,38
2017-01-15,57
2017-01-22,100
2017-01-29,72
2017-02-05,82
2017-02-12,36
2017-02-19,93
2017-02-26,50
2017-03-05,56
2017-03-12,90
2017-03-19,36
2017-03-26,60
2017-04-02,46
2017-04-09,30
2017-04-16,67
2017-04-23,64
2017-04-30,49
2017-05-07,65
2017-05-14,34
2017-05-21,15
2017-05-28,33
2017-06-04,58
2017-06-11,40
2017-06-18,62
2017-06-25,34
2017-07-02,32
2017-07-09,62
2017-07-16,49
2017-07-23,34
2017-07-30,72
2017-08-06,62
2017-08-13,57
2017-08-20,47
2017-08-27,58
2017-09-03,35
2017-09-10,54
2017-09-17,50
2017-09-24,63
2017-10-01,39
2017-10-08,46
2017-10-15,52
2017-10-22,68
2017-10-29,37
2017-11-05,71
2017-11-12,21
2017-11-19,58
2017-11-26,48
2017-12-03,72
2017-12-10,50
2017-12-17,76
2017-12-24,39
2017-12-31,43
2018-01-07,55
2018-01-14,41
2018-01-21,56
2018-01-28,66
2018-02-04,53
2018-02-11,37
2018-02-18,51
2018-02-25,37
2018-03-04,26
2018-03-11,43
2018-03-18,36
2018-03-25,35
2018-04-01,50
2018-04-08,51
2018-04-15,30
2018-04-22,65
2018-04-29,43
2018-05-06,37
2018-05-13,40
2018-05-20,55
2018-05-27,28
2018-06-03,26
2018-06-10,22
2018-06-17,48
2018-06-24,55
2018-07-01,32
2018-07-08,36
2018-07-15,32
2018-07-22,61
2018-07-29,36
2018-08-05,49
