Category: Shopping

Week,Apple Watch: (State of São Paulo)
2016-12-25,23
2017-01-01,30
2017-01-08,31
2017-01-15,29
2017-01-22,42
2017-01-29,29
2017-02-05,33
2017-02-12,9
2017-02-19,12
2017-02-26,12
2017-03-05,17
2017-03-12,11
2017-03-19,38
2017-03-26,40
2017-04-02,55
2017-04-09,43
2017-04-16,18
2017-04-23,17
2017-04-30,25
2017-05-07,30
2017-05-14,24
2017-05-21,31
2017-05-28,36
2017-06-04,44
2017-06-11,26
2017-06-18,27
2017-06-25,34
2017-07-02,33
2017-07-09,41
2017-07-16,38
2017-07-23,37
2017-07-30,23
2017-08-06,44
2017-08-13,38
2017-08-20,35
2017-08-27,47
2017-09-03,54
2017-09-10,42
2017-09-17,29
2017-09-24,49
2017-10-01,66
2017-10-08,59
2017-10-15,51
2017-10-22,45
2017-10-29,42
2017-11-05,58
2017-11-12,35
2017-11-19,72
2017-11-26,72
2017-12-03,58
2017-12-10,82
2017-12-17,56
2017-12-24,100
2017-12-31,55
2018-01-07,53
2018-01-14,34
2018-01-21,62
2018-01-28,57
2018-02-04,46
2018-02-11,51
2018-02-18,69
2018-02-25,66
2018-03-04,80
2018-03-11,81
2018-03-18,48
2018-03-25,60
2018-04-01,74
2018-04-08,78
2018-04-15,66
2018-04-22,80
2018-04-29,96
2018-05-06,94
2018-05-13,99
2018-05-20,59
2018-05-27,82
2018-06-03,73
2018-06-10,87
2018-06-17,84
2018-06-24,83
2018-07-01,84
2018-07-08,76
2018-07-15,83
2018-07-22,77
2018-07-29,77
2018-08-05,80
