Category: All categories

Week,Men's Watch: (State of São Paulo)
2016-12-25,45
2017-01-01,41
2017-01-08,34
2017-01-15,41
2017-01-22,54
2017-01-29,38
2017-02-05,46
2017-02-12,55
2017-02-19,52
2017-02-26,48
2017-03-05,45
2017-03-12,56
2017-03-19,35
2017-03-26,58
2017-04-02,37
2017-04-09,50
2017-04-16,41
2017-04-23,49
2017-04-30,49
2017-05-07,49
2017-05-14,34
2017-05-21,63
2017-05-28,61
2017-06-04,69
2017-06-11,54
2017-06-18,36
2017-06-25,37
2017-07-02,47
2017-07-09,48
2017-07-16,34
2017-07-23,70
2017-07-30,54
2017-08-06,56
2017-08-13,43
2017-08-20,41
2017-08-27,37
2017-09-03,32
2017-09-10,41
2017-09-17,38
2017-09-24,31
2017-10-01,45
2017-10-08,35
2017-10-15,38
2017-10-22,41
2017-10-29,60
2017-11-05,36
2017-11-12,64
2017-11-19,83
2017-11-26,86
2017-12-03,85
2017-12-10,100
2017-12-17,73
2017-12-24,52
2017-12-31,40
2018-01-07,42
2018-01-14,39
2018-01-21,44
2018-01-28,50
2018-02-04,54
2018-02-11,43
2018-02-18,43
2018-02-25,23
2018-03-04,34
2018-03-11,53
2018-03-18,36
2018-03-25,32
2018-04-01,38
2018-04-08,29
2018-04-15,34
2018-04-22,29
2018-04-29,41
2018-05-06,44
2018-05-13,42
2018-05-20,42
2018-05-27,41
2018-06-03,46
2018-06-10,65
2018-06-17,32
2018-06-24,46
2018-07-01,29
2018-07-08,45
2018-07-15,56
2018-07-22,36
2018-07-29,44
2018-08-05,68
