Category: Shopping

Week,Men's Watch: (State of São Paulo)
2016-12-25,54
2017-01-01,54
2017-01-08,51
2017-01-15,36
2017-01-22,46
2017-01-29,35
2017-02-05,57
2017-02-12,49
2017-02-19,43
2017-02-26,58
2017-03-05,49
2017-03-12,52
2017-03-19,31
2017-03-26,43
2017-04-02,39
2017-04-09,44
2017-04-16,51
2017-04-23,50
2017-04-30,34
2017-05-07,44
2017-05-14,34
2017-05-21,53
2017-05-28,62
2017-06-04,66
2017-06-11,65
2017-06-18,47
2017-06-25,51
2017-07-02,45
2017-07-09,48
2017-07-16,52
2017-07-23,55
2017-07-30,52
2017-08-06,67
2017-08-13,42
2017-08-20,41
2017-08-27,41
2017-09-03,40
2017-09-10,40
2017-09-17,44
2017-09-24,39
2017-10-01,43
2017-10-08,45
2017-10-15,46
2017-10-22,51
2017-10-29,54
2017-11-05,50
2017-11-12,54
2017-11-19,95
2017-11-26,82
2017-12-03,94
2017-12-10,100
2017-12-17,79
2017-12-24,70
2017-12-31,48
2018-01-07,42
2018-01-14,57
2018-01-21,36
2018-01-28,47
2018-02-04,47
2018-02-11,52
2018-02-18,43
2018-02-25,38
2018-03-04,46
2018-03-11,52
2018-03-18,41
2018-03-25,45
2018-04-01,42
2018-04-08,37
2018-04-15,43
2018-04-22,32
2018-04-29,49
2018-05-06,41
2018-05-13,55
2018-05-20,42
2018-05-27,50
2018-06-03,51
2018-06-10,61
2018-06-17,34
2018-06-24,41
2018-07-01,43
2018-07-08,52
2018-07-15,39
2018-07-22,59
2018-07-29,51
2018-08-05,70
