Category: Shopping

Week,Orient Watch: (State of São Paulo)
2016-12-25,44
2017-01-01,55
2017-01-08,54
2017-01-15,48
2017-01-22,56
2017-01-29,52
2017-02-05,66
2017-02-12,58
2017-02-19,60
2017-02-26,80
2017-03-05,62
2017-03-12,46
2017-03-19,70
2017-03-26,42
2017-04-02,80
2017-04-09,82
2017-04-16,41
2017-04-23,39
2017-04-30,61
2017-05-07,58
2017-05-14,57
2017-05-21,42
2017-05-28,35
2017-06-04,64
2017-06-11,57
2017-06-18,58
2017-06-25,80
2017-07-02,78
2017-07-09,40
2017-07-16,62
2017-07-23,67
2017-07-30,79
2017-08-06,61
2017-08-13,54
2017-08-20,76
2017-08-27,58
2017-09-03,62
2017-09-10,80
2017-09-17,42
2017-09-24,53
2017-10-01,51
2017-10-08,71
2017-10-15,55
2017-10-22,32
2017-10-29,56
2017-11-05,55
2017-11-12,60
2017-11-19,80
2017-11-26,92
2017-12-03,99
2017-12-10,75
2017-12-17,100
2017-12-24,78
2017-12-31,43
2018-01-07,61
2018-01-14,44
2018-01-21,67
2018-01-28,35
2018-02-04,59
2018-02-11,91
2018-02-18,74
2018-02-25,54
2018-03-04,58
2018-03-11,48
2018-03-18,75
2018-03-25,65
2018-04-01,40
2018-04-08,37
2018-04-15,65
2018-04-22,69
2018-04-29,45
2018-05-06,66
2018-05-13,48
2018-05-20,52
2018-05-27,64
2018-06-03,53
2018-06-10,79
2018-06-17,61
2018-06-24,40
2018-07-01,69
2018-07-08,67
2018-07-15,42
2018-07-22,57
2018-07-29,72
2018-08-05,80
