Category: Shopping

Week,relogio citizen: (State of São Paulo)
2016-12-25,74
2017-01-01,45
2017-01-08,82
2017-01-15,70
2017-01-22,87
2017-01-29,35
2017-02-05,36
2017-02-12,70
2017-02-19,73
2017-02-26,59
2017-03-05,68
2017-03-12,54
2017-03-19,63
2017-03-26,41
2017-04-02,83
2017-04-09,29
2017-04-16,44
2017-04-23,34
2017-04-30,29
2017-05-07,57
2017-05-14,37
2017-05-21,59
2017-05-28,65
2017-06-04,71
2017-06-11,77
2017-06-18,71
2017-06-25,59
2017-07-02,86
2017-07-09,76
2017-07-16,75
2017-07-23,37
2017-07-30,49
2017-08-06,42
2017-08-13,69
2017-08-20,56
2017-08-27,56
2017-09-03,91
2017-09-10,43
2017-09-17,49
2017-09-24,82
2017-10-01,55
2017-10-08,60
2017-10-15,41
2017-10-22,74
2017-10-29,43
2017-11-05,100
2017-11-12,42
2017-11-19,73
2017-11-26,73
2017-12-03,83
2017-12-10,90
2017-12-17,67
2017-12-24,51
2017-12-31,77
2018-01-07,47
2018-01-14,54
2018-01-21,61
2018-01-28,54
2018-02-04,34
2018-02-11,58
2018-02-18,52
2018-02-25,72
2018-03-04,58
2018-03-11,39
2018-03-18,45
2018-03-25,61
2018-04-01,39
2018-04-08,27
2018-04-15,85
2018-04-22,40
2018-04-29,56
2018-05-06,73
2018-05-13,72
2018-05-20,40
2018-05-27,49
2018-06-03,71
2018-06-10,25
2018-06-17,40
2018-06-24,67
2018-07-01,28
2018-07-08,84
2018-07-15,62
2018-07-22,46
2018-07-29,38
2018-08-05,57
