Category: Shopping

Week,relogio orient: (State of São Paulo)
2016-12-25,56
2017-01-01,76
2017-01-08,63
2017-01-15,50
2017-01-22,17
2017-01-29,25
2017-02-05,35
2017-02-12,59
2017-02-19,79
2017-02-26,54
2017-03-05,33
2017-03-12,65
2017-03-19,76
2017-03-26,58
2017-04-02,91
2017-04-09,53
2017-04-16,44
2017-04-23,33
2017-04-30,35
2017-05-07,77
2017-05-14,79
2017-05-21,45
2017-05-28,52
2017-06-04,34
2017-06-11,28
2017-06-18,60
2017-06-25,53
2017-07-02,75
2017-07-09,27
2017-07-16,54
2017-07-23,54
2017-07-30,68
2017-08-06,60
2017-08-13,67
2017-08-20,85
2017-08-27,34
2017-09-03,100
2017-09-10,17
2017-09-17,67
2017-09-24,74
2017-10-01,58
2017-10-08,36
2017-10-15,57
2017-10-22,72
2017-10-29,26
2017-11-05,56
2017-11-12,75
2017-11-19,40
2017-11-26,48
2017-12-03,59
2017-12-10,83
2017-12-17,63
2017-12-24,72
2017-12-31,37
2018-01-07,32
2018-01-14,81
2018-01-21,57
2018-01-28,41
2018-02-04,33
2018-02-11,96
2018-02-18,63
2018-02-25,47
2018-03-04,62
2018-03-11,39
2018-03-18,62
2018-03-25,83
2018-04-01,24
2018-04-08,32
2018-04-15,39
2018-04-22,48
2018-04-29,59
2018-05-06,64
2018-05-13,47
2018-05-20,32
2018-05-27,75
2018-06-03,8
2018-06-10,51
2018-06-17,32
2018-06-24,24
2018-07-01,67
2018-07-08,34
2018-07-15,25
2018-07-22,71
2018-07-29,77
2018-08-05,46
