Category: Shopping

Week,relógio de pulso: (State of São Paulo)
2016-12-25,83
2017-01-01,40
2017-01-08,50
2017-01-15,16
2017-01-22,65
2017-01-29,31
2017-02-05,49
2017-02-12,32
2017-02-19,0
2017-02-26,100
2017-03-05,30
2017-03-12,60
2017-03-19,0
2017-03-26,31
2017-04-02,15
2017-04-09,0
2017-04-16,0
2017-04-23,31
2017-04-30,33
2017-05-07,48
2017-05-14,65
2017-05-21,17
2017-05-28,32
2017-06-04,16
2017-06-11,17
2017-06-18,32
2017-06-25,33
2017-07-02,0
2017-07-09,51
2017-07-16,33
2017-07-23,17
2017-07-30,16
2017-08-06,47
2017-08-13,62
2017-08-20,16
2017-08-27,63
2017-09-03,51
2017-09-10,32
2017-09-17,16
2017-09-24,0
2017-10-01,46
2017-10-08,34
2017-10-15,15
2017-10-22,15
2017-10-29,16
2017-11-05,15
2017-11-12,46
2017-11-19,45
2017-11-26,44
2017-12-03,62
2017-12-10,0
2017-12-17,50
2017-12-24,95
2017-12-31,17
2018-01-07,30
2018-01-14,45
2018-01-21,15
2018-01-28,46
2018-02-04,31
2018-02-11,49
2018-02-18,15
2018-02-25,44
2018-03-04,29
2018-03-11,58
2018-03-18,57
2018-03-25,15
2018-04-01,0
2018-04-08,30
2018-04-15,59
2018-04-22,74
2018-04-29,16
2018-05-06,59
2018-05-13,29
2018-05-20,90
2018-05-27,78
2018-06-03,14
2018-06-10,27
2018-06-17,15
2018-06-24,60
2018-07-01,46
2018-07-08,0
2018-07-15,31
2018-07-22,59
2018-07-29,0
2018-08-05,72
