,y_true,preds,dates
494,50,17.39755147062267,2018-01-07
495,51,43.43414074258603,2018-01-14
496,72,63.07531606263206,2018-01-21
497,61,81.79709352632013,2018-01-28
498,73,72.24133623787802,2018-02-04
499,58,75.7391552660765,2018-02-11
500,96,47.290052574839365,2018-02-18
501,93,93.42505225066617,2018-02-25
502,80,101.78564930374837,2018-03-04
503,67,83.02756090616933,2018-03-11
504,86,54.422207099171146,2018-03-18
505,94,84.52246596414625,2018-03-25
506,82,107.69222757322311,2018-04-01
507,85,88.16490315384696,2018-04-08
508,90,78.7649777455282,2018-04-15
509,70,79.68504073522077,2018-04-22
510,100,75.77961316038181,2018-04-29
511,83,102.50226993650301,2018-05-06
512,97,93.15901060536999,2018-05-13
513,99,93.51078152977645,2018-05-20
514,39,97.47876546732364,2018-05-27
515,44,37.060073041857905,2018-06-03
516,71,36.61866564449132,2018-06-10
517,67,67.98879100498687,2018-06-17
518,77,76.92033082575487,2018-06-24
519,77,75.16732584971746,2018-07-01
520,60,73.34534019814757,2018-07-08
521,54,65.18041593674454,2018-07-15
522,85,51.554739127619904,2018-07-22
523,101,86.33052933520013,2018-07-29
524,111,112.91814682708704,2018-08-05
525,138,115.80087006457455,2018-08-12
