,y_true,preds,dates
3385,147,110.27438922373982,2018-01-07
3386,155,199.97439625707102,2018-01-14
3387,172,187.17553859422821,2018-01-21
3388,132,145.8438432376725,2018-01-28
3389,85,124.80213490631527,2018-02-04
3390,73,83.2601208577552,2018-02-11
3391,126,77.15540143293063,2018-02-18
3392,131,136.862450020377,2018-02-25
3393,151,153.06185662493223,2018-03-04
3394,161,139.86926384839057,2018-03-11
3395,118,158.70742670876177,2018-03-18
3396,140,103.50447270578135,2018-03-25
3397,133,116.51192947636446,2018-04-01
3398,143,130.8940900371532,2018-04-08
3399,130,148.3597922327364,2018-04-15
3400,121,149.15875084483696,2018-04-22
3401,193,115.70136730608357,2018-04-29
3402,135,190.34663239934608,2018-05-06
3403,203,160.41886079920323,2018-05-13
3404,171,207.58067338589098,2018-05-20
3405,89,164.4782558283346,2018-05-27
3406,87,79.29245801900407,2018-06-03
3407,74,45.77601668569672,2018-06-10
3408,97,67.46299582900109,2018-06-17
3409,88,122.18395556584804,2018-06-24
3410,127,117.19889837060165,2018-07-01
3411,96,118.58190780704925,2018-07-08
3412,41,76.85325388700949,2018-07-15
3413,115,44.21497958970631,2018-07-22
3414,130,125.33277192349699,2018-07-29
3415,163,162.53845695628655,2018-08-05
3416,143,167.9798065516432,2018-08-12
