,y_true,preds,dates
3631,37,81.56484733382445,2018-01-07
3632,57,53.14966883997368,2018-01-14
3633,49,52.638016330559125,2018-01-21
3634,81,54.32317062250681,2018-01-28
3635,64,81.61910739647124,2018-02-04
3636,80,70.208594038744,2018-02-11
3637,96,80.2409315158767,2018-02-18
3638,43,88.56307197984104,2018-02-25
3639,79,59.9793467846825,2018-03-04
3640,63,91.15112441768065,2018-03-11
3641,57,61.393125504600235,2018-03-18
3642,62,46.13346998945472,2018-03-25
3643,58,50.74672038000001,2018-04-01
3644,56,55.30466146458412,2018-04-08
3645,52,63.83723451955461,2018-04-15
3646,68,62.73427360156353,2018-04-22
3647,94,67.56166320161206,2018-04-29
3648,111,98.34059521825165,2018-05-06
3649,64,106.40434938937959,2018-05-13
3650,78,60.25989858172215,2018-05-20
3651,57,66.33662177585852,2018-05-27
3652,31,63.038487694487216,2018-06-03
3653,48,34.83604213880504,2018-06-10
3654,44,33.4368572171029,2018-06-17
3655,32,33.83517742690122,2018-06-24
3656,68,37.65965582492466,2018-07-01
3657,39,78.8737438750024,2018-07-08
3658,20,60.80056064017528,2018-07-15
3659,45,23.047704524255767,2018-07-22
3660,49,13.335934015045083,2018-07-29
3661,55,71.10776402591203,2018-08-05
3662,57,67.51385141104316,2018-08-12
