,y_true,preds,dates
3731,114,70.39600895296128,2018-01-07
3732,147,130.808694328896,2018-01-14
3733,157,177.4784204407949,2018-01-21
3734,172,178.64645392797516,2018-01-28
3735,141,171.153586481701,2018-02-04
3736,151,139.55564172834286,2018-02-11
3737,174,139.99003881652536,2018-02-18
3738,171,175.67370151004525,2018-02-25
3739,207,166.1792188821207,2018-03-04
3740,184,215.8689636416968,2018-03-11
3741,144,202.1398182871555,2018-03-18
3742,142,141.32443953764283,2018-03-25
3743,134,117.83777314221635,2018-04-01
3744,155,120.40124896302689,2018-04-08
3745,159,158.12065837996374,2018-04-15
3746,109,185.7001615163713,2018-04-22
3747,236,126.9498223614851,2018-04-29
3748,227,220.16353015256013,2018-05-06
3749,269,239.92732515959807,2018-05-13
3750,171,283.47109801647684,2018-05-20
3751,110,183.34937342245684,2018-05-27
3752,113,80.05317251802109,2018-06-03
3753,196,70.74848149489044,2018-06-10
3754,227,209.46455631803616,2018-06-17
3755,231,270.0150968024438,2018-06-24
3756,197,246.11212830405623,2018-07-01
3757,189,184.29500858227496,2018-07-08
3758,140,172.95848742211138,2018-07-15
3759,219,138.6992343820251,2018-07-22
3760,191,222.8416381859456,2018-07-29
3761,243,222.56904670002996,2018-08-05
3762,277,235.50713325847403,2018-08-12
