,y_true,preds,dates
4237,61,48.070863971246204,2018-01-07
4238,84,59.485413760439904,2018-01-14
4239,88,84.18996569582174,2018-01-21
4240,105,97.77819317820516,2018-01-28
4241,86,113.3763820734567,2018-02-04
4242,84,100.4301181641629,2018-02-11
4243,111,69.57065769245955,2018-02-18
4244,117,104.67573172313863,2018-02-25
4245,117,135.07003852839642,2018-03-04
4246,107,147.92045345841825,2018-03-11
4247,91,114.21557767407617,2018-03-18
4248,122,70.94848121780524,2018-03-25
4249,75,98.46290762855944,2018-04-01
4250,90,82.64193392157388,2018-04-08
4251,115,86.46266710231589,2018-04-15
4252,95,134.00639494769578,2018-04-22
4253,169,112.3214286989897,2018-04-29
4254,120,149.80818755665393,2018-05-06
4255,195,147.51466671726564,2018-05-13
4256,185,210.03571918917277,2018-05-20
4257,87,185.1378118298942,2018-05-27
4258,135,82.30616883796972,2018-06-03
4259,173,100.06061725289572,2018-06-10
4260,129,191.54641533667535,2018-06-17
4261,120,167.72494359057177,2018-06-24
4262,153,106.10365446423693,2018-07-01
4263,122,109.54961918865993,2018-07-08
4264,65,119.52289162514617,2018-07-15
4265,118,79.66085154185558,2018-07-22
4266,176,129.3858388173894,2018-07-29
4267,227,185.2757099511169,2018-08-05
4268,194,237.92815227788668,2018-08-12
