,y_true,preds,dates
5539,93,56.38638495055794,2018-01-07
5540,161,104.55106098307583,2018-01-14
5541,150,188.71055260716187,2018-01-21
5542,157,179.74230998444045,2018-01-28
5543,183,156.0759439016522,2018-02-04
5544,172,172.21407063476454,2018-02-11
5545,153,166.14400480774913,2018-02-18
5546,170,164.18984362184818,2018-02-25
5547,193,164.58462328811308,2018-03-04
5548,193,192.59568548509557,2018-03-11
5549,192,206.53890279882978,2018-03-18
5550,174,201.36542443413163,2018-03-25
5551,148,165.15387200420656,2018-04-01
5552,164,135.12704484606417,2018-04-08
5553,142,152.6245246454709,2018-04-15
5554,100,159.53180501124098,2018-04-22
5555,170,117.0795467709494,2018-04-29
5556,123,162.4267632878038,2018-05-06
5557,156,131.44066272282834,2018-05-13
5558,139,158.30113937603534,2018-05-20
5559,65,138.71939258146836,2018-05-27
5560,83,57.03567181802532,2018-06-03
5561,75,70.24639101113726,2018-06-10
5562,131,57.613203905557235,2018-06-17
5563,112,136.48509696321162,2018-06-24
5564,105,153.58927433636825,2018-07-01
5565,120,112.43505742275089,2018-07-08
5566,67,101.29998242656531,2018-07-15
5567,94,63.401116920243965,2018-07-22
5568,142,100.60619391513312,2018-07-29
5569,152,151.93879567403874,2018-08-05
5570,130,182.42431502444884,2018-08-12
