,y_true,preds,dates
5797,68,73.02119431668123,2018-01-07
5798,85,78.75348661270719,2018-01-14
5799,90,82.71033089021807,2018-01-21
5800,92,93.76481674117493,2018-01-28
5801,97,104.2764936210383,2018-02-04
5802,98,107.80029903174008,2018-02-11
5803,96,100.24999510875739,2018-02-18
5804,102,89.66534724117446,2018-02-25
5805,74,90.97907602464673,2018-03-04
5806,73,76.60432082349263,2018-03-11
5807,79,82.44968161401695,2018-03-18
5808,89,100.35268549797172,2018-03-25
5809,80,80.95262740094333,2018-04-01
5810,62,61.86515553280083,2018-04-08
5811,74,53.44846146651811,2018-04-15
5812,65,82.74435670463967,2018-04-22
5813,93,82.5585935045307,2018-04-29
5814,51,92.38163757284762,2018-05-06
5815,87,53.888668137821014,2018-05-13
5816,62,79.41084598919556,2018-05-20
5817,42,66.22045908482758,2018-05-27
5818,41,41.72706919810441,2018-06-03
5819,41,33.11770109083484,2018-06-10
5820,64,32.796958632592826,2018-06-17
5821,65,54.013668668807185,2018-06-24
5822,43,73.90825568459141,2018-07-01
5823,33,40.074909411865235,2018-07-08
5824,27,27.413857615854333,2018-07-15
5825,58,30.87364301142013,2018-07-22
5826,67,68.60887099147152,2018-07-29
5827,112,72.15543334457297,2018-08-05
5828,111,109.93333173232668,2018-08-12
