,y_true,nd_preds,lt_preds,dates
0,50,[48.30858293],48.30858293318274,2018-01-07
1,51,[48.30858293],47.73758435515761,2018-01-14
2,72,[48.84843461],90.82700941203609,2018-01-21
3,61,[37.9640583],71.58981936384595,2018-01-28
4,73,[66.9200365],66.92003649798264,2018-02-04
5,58,[66.9200365],68.38556542876425,2018-02-11
6,96,[72.38599333],59.026903125538695,2018-02-18
7,93,[48.00979052],49.15631991151177,2018-02-25
8,80,[97.5110353],97.51103529719174,2018-03-04
9,67,[97.5110353],103.44118496699025,2018-03-11
10,86,[91.26827716],93.79137565388154,2018-03-18
11,94,[60.10278497],84.54274586141798,2018-03-25
12,82,[103.0138964],103.01389639775292,2018-04-01
13,85,[103.0138964],103.9869799365106,2018-04-08
14,90,[88.95555959],106.20712249954526,2018-04-15
15,70,[75.97066167],95.98679180625251,2018-04-22
16,100,[80.70972999],80.70972998536118,2018-04-29
17,83,[80.70972999],81.54255408717079,2018-05-06
18,97,[93.14047831],89.04768104729278,2018-05-13
19,99,[81.04373],83.26477242813014,2018-05-20
20,39,[101.89161491],101.89161491314005,2018-05-27
21,44,[101.89161491],96.51943108315594,2018-06-03
22,71,[63.05641662],102.22421386818634,2018-06-10
23,67,[52.38805733],95.7320790278022,2018-06-17
24,77,[91.96650703],91.96650703422154,2018-06-24
25,77,[91.96650703],88.51440554002326,2018-07-01
26,60,[75.62338974],102.52945468853163,2018-07-08
27,54,[76.08297959],98.39884441719673,2018-07-15
28,85,[52.06383782],52.06383782231155,2018-07-22
29,101,[52.06383782],51.02386272637026,2018-07-29
30,111,[78.81102853],70.99202324715912,2018-08-05
31,138,[89.97968032],65.46507954339967,2018-08-12
