,y_true,nd_preds,lt_preds,dates
0,168,192.31561090467355,192.31561090467355,2018-01-07
1,205,192.31561090467355,191.70325132109852,2018-01-14
2,168,188.79403007336197,204.46255250367514,2018-01-21
3,224,198.04100963218755,203.21286580881468,2018-01-28
4,237,206.89920707198522,206.89920707198522,2018-02-04
5,220,206.89920707198522,203.4422691240154,2018-02-11
6,193,213.6718772014357,210.56843883150708,2018-02-18
7,148,218.73147521139828,212.91565885838747,2018-02-25
8,181,188.76705425724055,188.76705425724055,2018-03-04
9,166,188.76705425724055,201.47847522432983,2018-03-11
10,185,197.45418486431615,212.34671431141584,2018-03-18
11,217,195.6057247019225,214.32270597493698,2018-03-25
12,167,214.24245834575308,214.24245834575308,2018-04-01
13,179,214.24245834575308,210.05057425202423,2018-04-08
14,191,191.4658449178891,219.12768837748607,2018-04-15
15,147,203.41235020067015,221.77075721896728,2018-04-22
16,219,182.81734765466885,182.81734765466885,2018-04-29
17,178,182.81734765466885,194.41634015881448,2018-05-06
18,183,209.8436015961267,213.46085822502653,2018-05-13
19,227,197.0126882766882,210.5848636445774,2018-05-20
20,150,220.64569005636898,220.64569005636898,2018-05-27
21,131,220.64569005636898,208.61363524521224,2018-06-03
22,223,180.54921509909138,220.7604327871705,2018-06-10
23,200,175.189942747842,218.86687990041298,2018-06-17
24,200,204.40723339596872,204.40723339596872,2018-06-24
25,159,204.40723339596872,198.36970944757186,2018-07-01
26,142,195.97752727505153,215.21317133746433,2018-07-08
27,79,190.3168237291333,214.44983497513647,2018-07-15
28,160,145.6836543078753,145.6836543078753,2018-07-22
29,171,145.6836543078753,157.93424717767465,2018-07-29
30,205,165.5731297534486,178.60419549339582,2018-08-05
31,206,174.22889087827406,177.2375301440565,2018-08-12
