,y_true,nd_preds,lt_preds,dates
0,147,-61.170524806315555,-61.170524806315555,2018-01-07
1,155,-61.170524806315555,-58.23971929394647,2018-01-14
2,172,147.34691715082968,-98.50280128826562,2018-01-21
3,132,152.85920145233237,-100.4669550389715,2018-01-28
4,85,133.1688760034624,133.1688760034624,2018-02-04
5,73,133.1688760034624,141.63569528595454,2018-02-11
6,126,112.82655902668293,153.35292525312204,2018-02-18
7,131,83.61526289766168,136.83960823277698,2018-02-25
8,151,140.3465205799066,140.3465205799066,2018-03-04
9,161,140.3465205799066,155.48441295605528,2018-03-11
10,118,161.7167442417254,171.22307896577627,2018-03-18
11,140,121.30997973127347,139.73222368854113,2018-03-25
12,133,138.1969477548329,138.1969477548329,2018-04-01
13,143,138.1969477548329,150.65505879998588,2018-04-08
14,130,148.33036794789845,163.04077622921233,2018-04-15
15,121,139.0084028682662,150.5282316387636,2018-04-22
16,193,129.52516699955396,129.52516699955396,2018-04-29
17,135,129.52516699955396,147.38414840665138,2018-05-06
18,203,184.9353449712603,170.60900058232278,2018-05-13
19,171,136.85078102923563,153.6591267138706,2018-05-20
20,89,146.356463727566,146.356463727566,2018-05-27
21,87,146.356463727566,171.66943530102486,2018-06-03
22,74,142.98521221253043,172.65883114448587,2018-06-10
23,97,69.61998127240852,155.53058211232283,2018-06-17
24,88,126.77493436554418,126.77493436554418,2018-06-24
25,127,126.77493436554418,135.30232721169483,2018-07-01
26,96,96.28255702357443,163.88962491962363,2018-07-08
27,41,93.7511392106118,129.46799957033133,2018-07-15
28,115,41.81234175744399,41.81234175744399,2018-07-22
29,130,41.81234175744399,38.96220970598761,2018-07-29
30,163,112.07245227190694,66.69250386744994,2018-08-05
31,143,120.39127386719943,57.269198388451514,2018-08-12
