,y_true,nd_preds,lt_preds,dates
0,37,82.12111911287505,82.12111911287505,2018-01-07
1,57,82.12111911287505,75.43031138026066,2018-01-14
2,49,47.95161456310237,93.04290869877823,2018-01-21
3,81,52.848138994427345,87.57375467449044,2018-01-28
4,64,83.34124450096567,83.34124450096567,2018-02-04
5,80,83.34124450096567,79.7538518250321,2018-02-11
6,96,70.31442913039253,97.97155498727977,2018-02-18
7,43,85.06425484775106,94.49112101027006,2018-02-25
8,79,64.90788014671057,64.90788014671057,2018-03-04
9,63,64.90788014671057,73.19598831892252,2018-03-11
10,57,79.78601929608314,94.92456234841788,2018-03-18
11,62,71.05616705116884,89.20708530961986,2018-03-25
12,58,60.89038076312461,60.89038076312461,2018-04-01
13,56,60.89038076312461,53.27638401065913,2018-04-08
14,52,51.95560580498401,70.34953337595682,2018-04-15
15,68,58.68220954421404,65.190262335048,2018-04-22
16,94,59.901347237336154,59.901347237336154,2018-04-29
17,111,59.901347237336154,52.05656104239998,2018-05-06
18,64,69.43821181898416,68.20617468668975,2018-05-13
19,78,100.46831880271212,63.14478907205475,2018-05-20
20,57,81.23263882631824,81.23263882631824,2018-05-27
21,31,81.23263882631824,74.15718327207583,2018-06-03
22,48,62.77124433618688,87.23056791502125,2018-06-10
23,44,47.565405171082965,83.05462598851966,2018-06-17
24,32,46.891114529416114,46.891114529416114,2018-06-24
25,68,46.891114529416114,38.04655881772976,2018-07-01
26,39,30.379564734096512,52.04300176249778,2018-07-08
27,20,51.79879718649461,47.56911573512981,2018-07-15
28,45,33.714801039773434,33.714801039773434,2018-07-22
29,49,33.714801039773434,27.481823991249954,2018-07-29
30,55,31.41369303782146,38.51651942221527,2018-08-05
31,57,43.57513713215188,30.927621263264328,2018-08-12
