,y_true,nd_preds,lt_preds,dates
0,114,71.645170935532,71.645170935532,2018-01-07
1,147,71.645170935532,68.95893605004221,2018-01-14
2,157,124.01055231856728,78.57385515348565,2018-01-21
3,172,123.43238637097443,70.27377544930971,2018-01-28
4,141,148.38242139367114,148.38242139367114,2018-02-04
5,151,148.38242139367114,129.4631477262477,2018-02-11
6,174,131.92887314700752,149.72119126124446,2018-02-18
7,171,126.08127113833805,123.42933069355757,2018-02-25
8,207,164.24076769276343,164.24076769276343,2018-03-04
9,184,164.24076769276343,156.75096815384245,2018-03-11
10,144,207.3303450909213,168.958502202496,2018-03-18
11,142,168.7583836330287,156.03161197347853,2018-03-25
12,134,135.78799546678556,135.78799546678556,2018-04-01
13,155,135.78799546678556,148.70275720535645,2018-04-08
14,159,151.91422847337083,168.83215160915583,2018-04-15
15,109,147.57028937632825,163.03575013268076,2018-04-22
16,236,124.01024030324297,124.01024030324297,2018-04-29
17,227,124.01024030324297,117.65978640265888,2018-05-06
18,269,198.0644158699985,125.63017074741599,2018-05-13
19,171,212.96865801715708,127.99116882117687,2018-05-20
20,110,170.04174415181868,170.04174415181868,2018-05-27
21,113,170.04174415181868,178.50419731616188,2018-06-03
22,196,150.2246453786323,181.30297513993082,2018-06-10
23,227,158.44201120588497,183.63381088810144,2018-06-17
24,231,249.07559690746973,249.07559690746973,2018-06-24
25,197,249.07559690746973,235.85567648174057,2018-07-01
26,189,227.3956444626601,225.01938425047047,2018-07-08
27,140,173.6468175008747,185.55429731790392,2018-07-15
28,219,175.66549868172214,175.66549868172214,2018-07-22
29,191,175.66549868172214,192.5836211727999,2018-07-29
30,243,213.04164306210689,227.81356399167188,2018-08-05
31,277,204.67235522217598,219.19777214818367,2018-08-12
