,y_true,nd_preds,lt_preds,dates
0,93,102.63652675893287,102.63652675893287,2018-01-07
1,161,102.63652675893287,125.21722965357543,2018-01-14
2,150,118.85956070814129,134.82054960168352,2018-01-21
3,157,151.5779805640481,140.53292096979587,2018-01-28
4,183,170.51226174102914,170.51226174102914,2018-02-04
5,172,170.51226174102914,145.8149182159916,2018-02-11
6,153,146.61708927513283,150.10487836130253,2018-02-18
7,170,154.32489521721783,148.11314999460666,2018-02-25
8,193,154.92487768411686,154.92487768411686,2018-03-04
9,193,154.92487768411686,162.55572110647557,2018-03-11
10,192,178.1074462432229,168.51844126124215,2018-03-18
11,174,177.32446435589446,163.60812525728247,2018-03-25
12,148,171.61646251098063,171.61646251098063,2018-04-01
13,164,171.61646251098063,176.33787846464514,2018-04-08
14,142,166.81017183749012,176.02655442843218,2018-04-15
15,100,174.47532072544976,181.43960672474958,2018-04-22
16,170,150.91489598678893,150.91489598678893,2018-04-29
17,123,150.91489598678893,169.49663211108737,2018-05-06
18,156,179.6178149273289,181.47059660179838,2018-05-13
19,139,158.84269123558715,191.61203220330714,2018-05-20
20,65,155.28195009584965,155.28195009584965,2018-05-27
21,83,155.28195009584965,177.35428462209407,2018-06-03
22,75,114.96848127842856,176.64999621793334,2018-06-10
23,131,84.64334780065953,175.40343693017718,2018-06-17
24,112,131.63738176351612,131.63738176351612,2018-06-24
25,105,131.63738176351612,135.5355771275781,2018-07-01
26,120,120.7434611835711,133.76989512857193,2018-07-08
27,67,107.74758664185586,131.38037300273407,2018-07-15
28,94,88.71549420556049,88.71549420556049,2018-07-22
29,142,88.71549420556049,94.39169394768197,2018-07-29
30,152,97.83775959546622,86.73931348270366,2018-08-05
31,130,133.24290525488772,99.2583801467259,2018-08-12
