,y_true,y_pred,dates
694,168.0,97.64304,2018-01-07
695,205.0,97.377914,2018-01-14
696,168.0,97.46231,2018-01-21
697,224.0,97.886566,2018-01-28
698,237.0,134.65523,2018-02-04
699,220.0,135.30016,2018-02-11
700,193.0,134.59459,2018-02-18
701,148.0,133.40633,2018-02-25
702,181.0,163.99677,2018-03-04
703,166.0,163.47066,2018-03-11
704,185.0,161.7114,2018-03-18
705,217.0,160.94014,2018-03-25
706,167.0,132.74731,2018-04-01
707,179.0,133.38318,2018-04-08
708,191.0,133.50151,2018-04-15
709,147.0,132.84045,2018-04-22
710,219.0,108.32759,2018-04-29
711,178.0,104.577324,2018-05-06
712,183.0,107.50952,2018-05-13
713,227.0,106.6626,2018-05-20
714,150.0,174.03961,2018-05-27
715,131.0,173.75757,2018-06-03
716,223.0,174.93898,2018-06-10
717,200.0,175.50375,2018-06-17
718,200.0,160.133,2018-06-24
719,159.0,160.04716,2018-07-01
720,142.0,160.11533,2018-07-08
721,79.0,159.96077,2018-07-15
722,160.0,169.73663,2018-07-22
723,171.0,169.62793,2018-07-29
724,205.0,168.9819,2018-08-05
725,206.0,168.12247,2018-08-12
