,y_true,y_pred,dates
3385,147.0,73.84028,2018-01-07
3386,155.0,76.19003,2018-01-14
3387,172.0,76.41361,2018-01-21
3388,132.0,76.52368,2018-01-28
3389,85.0,91.735374,2018-02-04
3390,73.0,89.04805,2018-02-11
3391,126.0,88.53415,2018-02-18
3392,131.0,91.2274,2018-02-25
3393,151.0,92.79525,2018-03-04
3394,161.0,93.84896,2018-03-11
3395,118.0,94.5445,2018-03-18
3396,140.0,93.42978,2018-03-25
3397,133.0,108.60567,2018-04-01
3398,143.0,108.68828,2018-04-08
3399,130.0,108.89644,2018-04-15
3400,121.0,108.89422,2018-04-22
3401,193.0,117.989105,2018-04-29
3402,135.0,121.076996,2018-05-06
3403,203.0,120.06919,2018-05-13
3404,171.0,123.05458,2018-05-20
3405,89.0,135.32336,2018-05-27
3406,87.0,134.94936,2018-06-03
3407,74.0,133.52364,2018-06-10
3408,97.0,131.16068,2018-06-17
3409,88.0,128.87106,2018-06-24
3410,127.0,132.14142,2018-07-01
3411,96.0,131.49586,2018-07-08
3412,41.0,132.06421,2018-07-15
3413,115.0,121.18094,2018-07-22
3414,130.0,120.101265,2018-07-29
3415,163.0,119.50007,2018-08-05
3416,143.0,119.17458,2018-08-12
