,y_true,y_pred,dates
3631,37.0,36.1526,2018-01-07
3632,57.0,36.417732,2018-01-14
3633,49.0,37.313156,2018-01-21
3634,81.0,37.524803,2018-01-28
3635,64.0,50.744396,2018-02-04
3636,80.0,49.280815,2018-02-11
3637,96.0,49.83081,2018-02-18
3638,43.0,49.770466,2018-02-25
3639,79.0,60.354103,2018-03-04
3640,63.0,60.71843,2018-03-11
3641,57.0,60.49468,2018-03-18
3642,62.0,60.049892,2018-03-25
3643,58.0,62.23873,2018-04-01
3644,56.0,62.12213,2018-04-08
3645,52.0,61.981277,2018-04-15
3646,68.0,61.784904,2018-04-22
3647,94.0,62.33399,2018-04-29
3648,111.0,63.976185,2018-05-06
3649,64.0,65.3833,2018-05-13
3650,78.0,63.648727,2018-05-20
3651,57.0,52.256317,2018-05-27
3652,31.0,51.007748,2018-06-03
3653,48.0,49.45768,2018-06-10
3654,44.0,51.040115,2018-06-17
3655,32.0,65.294846,2018-06-24
3656,68.0,65.39983,2018-07-01
3657,39.0,65.09635,2018-07-08
3658,20.0,65.25343,2018-07-15
3659,45.0,68.317566,2018-07-22
3660,49.0,67.2694,2018-07-29
3661,55.0,66.637825,2018-08-05
3662,57.0,66.31424,2018-08-12
