,y_true,y_pred,dates
4237,61.0,54.224445,2018-01-07
4238,84.0,54.988056,2018-01-14
4239,88.0,56.25293,2018-01-21
4240,105.0,56.787457,2018-01-28
4241,86.0,61.48511,2018-02-04
4242,84.0,61.74369,2018-02-11
4243,111.0,61.823772,2018-02-18
4244,117.0,61.52445,2018-02-25
4245,117.0,70.66068,2018-03-04
4246,107.0,70.87975,2018-03-11
4247,91.0,70.25835,2018-03-18
4248,122.0,68.97353,2018-03-25
4249,75.0,83.719574,2018-04-01
4250,90.0,83.31803,2018-04-08
4251,115.0,83.20726,2018-04-15
4252,95.0,83.44544,2018-04-22
4253,169.0,87.50603,2018-04-29
4254,120.0,91.00093,2018-05-06
4255,195.0,90.77568,2018-05-13
4256,185.0,94.31831,2018-05-20
4257,87.0,87.47727,2018-05-27
4258,135.0,86.012924,2018-06-03
4259,173.0,86.85536,2018-06-10
4260,129.0,87.47891,2018-06-17
4261,120.0,92.841545,2018-06-24
4262,153.0,92.604485,2018-07-01
4263,122.0,92.71388,2018-07-08
4264,65.0,92.56244,2018-07-15
4265,118.0,98.18962,2018-07-22
4266,176.0,98.56387,2018-07-29
4267,227.0,99.77224,2018-08-05
4268,194.0,101.40511,2018-08-12
