,y_true,y_pred,dates
5539,93.0,83.6582,2018-01-07
5540,161.0,88.03953,2018-01-14
5541,150.0,95.913864,2018-01-21
5542,157.0,95.209175,2018-01-28
5543,183.0,100.13462,2018-02-04
5544,172.0,100.31822,2018-02-11
5545,153.0,99.74963,2018-02-18
5546,170.0,99.40462,2018-02-25
5547,193.0,91.91709,2018-03-04
5548,193.0,91.68524,2018-03-11
5549,192.0,91.0324,2018-03-18
5550,174.0,90.3721,2018-03-25
5551,148.0,121.91942,2018-04-01
5552,164.0,121.67782,2018-04-08
5553,142.0,120.37726,2018-04-15
5554,100.0,120.74373,2018-04-22
5555,170.0,136.70871,2018-04-29
5556,123.0,132.50845,2018-05-06
5557,156.0,134.44029,2018-05-13
5558,139.0,132.3705,2018-05-20
5559,65.0,136.28558,2018-05-27
5560,83.0,122.86248,2018-06-03
5561,75.0,122.20939,2018-06-10
5562,131.0,119.446045,2018-06-17
5563,112.0,128.14546,2018-06-24
5564,105.0,128.91193,2018-07-01
5565,120.0,128.29654,2018-07-08
5566,67.0,129.70262,2018-07-15
5567,94.0,129.67744,2018-07-22
5568,142.0,128.65698,2018-07-29
5569,152.0,129.58946,2018-08-05
5570,130.0,130.93675,2018-08-12
