,y_true,y_pred,dates
5997,73.0,36.584698,2018-01-07
5998,76.0,37.588417,2018-01-14
5999,74.0,37.756058,2018-01-21
6000,106.0,37.71099,2018-01-28
6001,108.0,67.141464,2018-02-04
6002,79.0,67.82869,2018-02-11
6003,68.0,68.17266,2018-02-18
6004,96.0,67.584526,2018-02-25
6005,106.0,59.389698,2018-03-04
6006,109.0,58.66724,2018-03-11
6007,113.0,57.921513,2018-03-18
6008,105.0,57.13596,2018-03-25
6009,80.0,71.45494,2018-04-01
6010,107.0,71.93173,2018-04-08
6011,81.0,72.373276,2018-04-15
6012,79.0,72.48617,2018-04-22
6013,223.0,76.87262,2018-04-29
6014,199.0,78.959854,2018-05-06
6015,240.0,80.243355,2018-05-13
6016,128.0,81.51421,2018-05-20
6017,61.0,74.644005,2018-05-27
6018,89.0,71.60488,2018-06-03
6019,93.0,71.34324,2018-06-10
6020,140.0,71.17485,2018-06-17
6021,125.0,85.82754,2018-06-24
6022,113.0,86.10069,2018-07-01
6023,86.0,85.542564,2018-07-08
6024,134.0,83.53444,2018-07-15
6025,125.0,120.91546,2018-07-22
6026,145.0,120.9251,2018-07-29
6027,150.0,121.29729,2018-08-05
6028,133.0,121.47052,2018-08-12
