,y_true,y_pred,dates
3731,114.0,4.9005737,2018-01-07
3732,147.0,17.472801,2018-01-14
3733,157.0,12.6264,2018-01-21
3734,172.0,15.033634,2018-01-28
3735,141.0,78.5194,2018-02-04
3736,151.0,81.37382,2018-02-11
3737,174.0,79.30332,2018-02-18
3738,171.0,79.932846,2018-02-25
3739,207.0,100.98213,2018-03-04
3740,184.0,96.34738,2018-03-11
3741,144.0,93.38481,2018-03-18
3742,142.0,89.15009,2018-03-25
3743,134.0,92.03665,2018-04-01
3744,155.0,85.6378,2018-04-08
3745,159.0,88.820404,2018-04-15
3746,109.0,87.275604,2018-04-22
3747,236.0,130.54724,2018-04-29
3748,227.0,135.21834,2018-05-06
3749,269.0,124.92421,2018-05-13
3750,171.0,121.87932,2018-05-20
3751,110.0,123.3022,2018-05-27
3752,113.0,130.12401,2018-06-03
3753,196.0,130.19107,2018-06-10
3754,227.0,125.31434,2018-06-17
3755,231.0,128.37828,2018-06-24
3756,197.0,141.83981,2018-07-01
3757,189.0,130.29233,2018-07-08
3758,140.0,129.14592,2018-07-15
3759,219.0,132.2111,2018-07-22
3760,191.0,125.208984,2018-07-29
3761,243.0,133.4068,2018-08-05
3762,277.0,148.29851,2018-08-12
