,y_true,y_pred,dates
5797,68.0,50.080082,2018-01-07
5798,85.0,53.053196,2018-01-14
5799,90.0,47.457382,2018-01-21
5800,92.0,51.211643,2018-01-28
5801,97.0,57.035057,2018-02-04
5802,98.0,49.68579,2018-02-11
5803,96.0,45.82323,2018-02-18
5804,102.0,55.11092,2018-02-25
5805,74.0,49.000786,2018-03-04
5806,73.0,45.379353,2018-03-11
5807,79.0,49.555984,2018-03-18
5808,89.0,48.37486,2018-03-25
5809,80.0,70.843994,2018-04-01
5810,62.0,69.5005,2018-04-08
5811,74.0,68.78312,2018-04-15
5812,65.0,72.12612,2018-04-22
5813,93.0,67.23921,2018-04-29
5814,51.0,66.559616,2018-05-06
5815,87.0,64.851395,2018-05-13
5816,62.0,61.20818,2018-05-20
5817,42.0,73.15306,2018-05-27
5818,41.0,74.34878,2018-06-03
5819,41.0,70.73592,2018-06-10
5820,64.0,79.58377,2018-06-17
5821,65.0,72.23593,2018-06-24
5822,43.0,70.54787,2018-07-01
5823,33.0,71.52795,2018-07-08
5824,27.0,71.91979,2018-07-15
5825,58.0,66.2109,2018-07-22
5826,67.0,69.10336,2018-07-29
5827,112.0,66.58222,2018-08-05
5828,111.0,67.570564,2018-08-12
