,y_true,preds,dates
494,50,23,2018-01-07
495,51,23,2018-01-14
496,72,23,2018-01-21
497,61,25,2018-01-28
498,73,23,2018-02-04
499,58,23,2018-02-11
500,96,95,2018-02-18
501,93,25,2018-02-25
502,80,96,2018-03-04
503,67,23,2018-03-11
504,86,23,2018-03-18
505,94,23,2018-03-25
506,82,28,2018-04-01
507,85,73,2018-04-08
508,90,58,2018-04-15
509,70,94,2018-04-22
510,100,93,2018-04-29
511,83,67,2018-05-06
512,97,86,2018-05-13
513,99,86,2018-05-20
514,39,83,2018-05-27
515,44,82,2018-06-03
516,71,85,2018-06-10
517,67,90,2018-06-17
518,77,67,2018-06-24
519,77,67,2018-07-01
520,60,67,2018-07-08
521,54,67,2018-07-15
522,85,67,2018-07-22
523,101,100,2018-07-29
524,111,83,2018-08-05
525,138,67,2018-08-12
