,y_true,preds,dates
694,168,137,2018-01-07
695,205,112,2018-01-14
696,168,137,2018-01-21
697,224,112,2018-01-28
698,237,94,2018-02-04
699,220,224,2018-02-11
700,193,168,2018-02-18
701,148,168,2018-02-25
702,181,168,2018-03-04
703,166,168,2018-03-11
704,185,168,2018-03-18
705,217,168,2018-03-25
706,167,185,2018-04-01
707,179,185,2018-04-08
708,191,185,2018-04-15
709,147,185,2018-04-22
710,219,191,2018-04-29
711,178,147,2018-05-06
712,183,179,2018-05-13
713,227,147,2018-05-20
714,150,185,2018-05-27
715,131,178,2018-06-03
716,223,178,2018-06-10
717,200,178,2018-06-17
718,200,168,2018-06-24
719,159,150,2018-07-01
720,142,178,2018-07-08
721,79,131,2018-07-15
722,160,200,2018-07-22
723,171,200,2018-07-29
724,205,168,2018-08-05
725,206,150,2018-08-12
