,y_true,preds,dates
3631,37,47,2018-01-07
3632,57,58,2018-01-14
3633,49,58,2018-01-21
3634,81,58,2018-01-28
3635,64,37,2018-02-04
3636,80,37,2018-02-11
3637,96,58,2018-02-18
3638,43,56,2018-02-25
3639,79,43,2018-03-04
3640,63,37,2018-03-11
3641,57,43,2018-03-18
3642,62,96,2018-03-25
3643,58,57,2018-04-01
3644,56,57,2018-04-08
3645,52,57,2018-04-15
3646,68,79,2018-04-22
3647,94,56,2018-04-29
3648,111,52,2018-05-06
3649,64,56,2018-05-13
3650,78,52,2018-05-20
3651,57,57,2018-05-27
3652,31,52,2018-06-03
3653,48,68,2018-06-10
3654,44,56,2018-06-17
3655,32,56,2018-06-24
3656,68,64,2018-07-01
3657,39,58,2018-07-08
3658,20,64,2018-07-15
3659,45,20,2018-07-22
3660,49,58,2018-07-29
3661,55,57,2018-08-05
3662,57,57,2018-08-12
