,y_true,preds,dates
3731,114,80,2018-01-07
3732,147,80,2018-01-14
3733,157,80,2018-01-21
3734,172,80,2018-01-28
3735,141,80,2018-02-04
3736,151,80,2018-02-11
3737,174,80,2018-02-18
3738,171,63,2018-02-25
3739,207,171,2018-03-04
3740,184,114,2018-03-11
3741,144,80,2018-03-18
3742,142,80,2018-03-25
3743,134,142,2018-04-01
3744,155,151,2018-04-08
3745,159,174,2018-04-15
3746,109,171,2018-04-22
3747,236,109,2018-04-29
3748,227,109,2018-05-06
3749,269,144,2018-05-13
3750,171,142,2018-05-20
3751,110,171,2018-05-27
3752,113,171,2018-06-03
3753,196,171,2018-06-10
3754,227,171,2018-06-17
3755,231,227,2018-06-24
3756,197,227,2018-07-01
3757,189,227,2018-07-08
3758,140,227,2018-07-15
3759,219,227,2018-07-22
3760,191,171,2018-07-29
3761,243,227,2018-08-05
3762,277,227,2018-08-12
