,y_true,preds,dates
3385,147,65,2018-01-07
3386,155,103,2018-01-14
3387,172,103,2018-01-21
3388,132,65,2018-01-28
3389,85,63,2018-02-04
3390,73,172,2018-02-11
3391,126,103,2018-02-18
3392,131,103,2018-02-25
3393,151,131,2018-03-04
3394,161,126,2018-03-11
3395,118,74,2018-03-18
3396,140,103,2018-03-25
3397,133,65,2018-04-01
3398,143,151,2018-04-08
3399,130,140,2018-04-15
3400,121,161,2018-04-22
3401,193,151,2018-04-29
3402,135,59,2018-05-06
3403,203,121,2018-05-13
3404,171,143,2018-05-20
3405,89,171,2018-05-27
3406,87,104,2018-06-03
3407,74,171,2018-06-10
3408,97,68,2018-06-17
3409,88,74,2018-06-24
3410,127,74,2018-07-01
3411,96,74,2018-07-08
3412,41,74,2018-07-15
3413,115,41,2018-07-22
3414,130,41,2018-07-29
3415,163,104,2018-08-05
3416,143,95,2018-08-12
