,y_true,preds,dates
4237,61,38,2018-01-07
4238,84,83,2018-01-14
4239,88,83,2018-01-21
4240,105,91,2018-01-28
4241,86,83,2018-02-04
4242,84,64,2018-02-11
4243,111,28,2018-02-18
4244,117,87,2018-02-25
4245,117,48,2018-03-04
4246,107,62,2018-03-11
4247,91,91,2018-03-18
4248,122,66,2018-03-25
4249,75,93,2018-04-01
4250,90,117,2018-04-08
4251,115,64,2018-04-15
4252,95,107,2018-04-22
4253,169,107,2018-04-29
4254,120,95,2018-05-06
4255,195,115,2018-05-13
4256,185,61,2018-05-20
4257,87,91,2018-05-27
4258,135,95,2018-06-03
4259,173,95,2018-06-10
4260,129,73,2018-06-17
4261,120,87,2018-06-24
4262,153,66,2018-07-01
4263,122,91,2018-07-08
4264,65,135,2018-07-15
4265,118,58,2018-07-22
4266,176,48,2018-07-29
4267,227,122,2018-08-05
4268,194,122,2018-08-12
