,y_true,preds,dates
5797,68,61,2018-01-07
5798,85,52,2018-01-14
5799,90,27,2018-01-21
5800,92,52,2018-01-28
5801,97,56,2018-02-04
5802,98,46,2018-02-11
5803,96,70,2018-02-18
5804,102,46,2018-02-25
5805,74,102,2018-03-04
5806,73,102,2018-03-11
5807,79,96,2018-03-18
5808,89,46,2018-03-25
5809,80,89,2018-04-01
5810,62,79,2018-04-08
5811,74,53,2018-04-15
5812,65,53,2018-04-22
5813,93,74,2018-04-29
5814,51,62,2018-05-06
5815,87,65,2018-05-13
5816,62,56,2018-05-20
5817,42,62,2018-05-27
5818,41,62,2018-06-03
5819,41,47,2018-06-10
5820,64,74,2018-06-17
5821,65,62,2018-06-24
5822,43,26,2018-07-01
5823,33,62,2018-07-08
5824,27,62,2018-07-15
5825,58,27,2018-07-22
5826,67,33,2018-07-29
5827,112,65,2018-08-05
5828,111,74,2018-08-12
