,y_true,y_pred,dates
694,168.0,111.70509,2018-01-07
695,205.0,111.49902,2018-01-14
696,168.0,111.25724,2018-01-21
697,224.0,111.56621,2018-01-28
698,237.0,132.24103,2018-02-04
699,220.0,133.07147,2018-02-11
700,193.0,133.34286,2018-02-18
701,148.0,133.30618,2018-02-25
702,181.0,91.61638,2018-03-04
703,166.0,92.18269,2018-03-11
704,185.0,92.21106,2018-03-18
705,217.0,93.540794,2018-03-25
706,167.0,164.29893,2018-04-01
707,179.0,164.84444,2018-04-08
708,191.0,166.70934,2018-04-15
709,147.0,167.85094,2018-04-22
710,219.0,183.49467,2018-04-29
711,178.0,184.70999,2018-05-06
712,183.0,184.49411,2018-05-13
713,227.0,184.42397,2018-05-20
714,150.0,171.80833,2018-05-27
715,131.0,173.89764,2018-06-03
716,223.0,175.61295,2018-06-10
717,200.0,173.02226,2018-06-17
718,200.0,164.60365,2018-06-24
719,159.0,165.2031,2018-07-01
720,142.0,165.77979,2018-07-08
721,79.0,165.3916,2018-07-15
722,160.0,166.24472,2018-07-22
723,171.0,166.98157,2018-07-29
724,205.0,167.40015,2018-08-05
725,206.0,167.82597,2018-08-12
