,y_true,nd_preds,lt_preds,dates
0,168,192.31561090457248,192.31561090457248,2018-01-07
1,205,192.31561090457248,191.70325132099822,2018-01-14
2,168,188.7940300736031,204.46255250356157,2018-01-21
3,224,198.0410096318293,203.21286580871788,2018-01-28
4,237,206.89920313022506,206.89920313022506,2018-02-04
5,220,206.89920313022506,203.44226636911313,2018-02-11
6,193,213.67187724791478,210.56843725017617,2018-02-18
7,148,218.73147521308198,212.91565757735063,2018-02-25
8,181,188.76705398848102,188.76705398848102,2018-03-04
9,166,188.76705398848102,201.47847503744416,2018-03-11
10,185,197.4541848260578,212.346714204645,2018-03-18
11,217,195.60572364037097,214.32270591852713,2018-03-25
12,167,214.2424583376524,214.2424583376524,2018-04-01
13,179,214.2424583376524,210.05057424607412,2018-04-08
14,191,191.46584482679995,219.1276883740051,2018-04-15
15,147,203.41235019833462,221.77075721664,2018-04-22
16,219,182.8173477071412,182.8173477071412,2018-04-29
17,178,182.8173477071412,194.41634019951806,2018-05-06
18,183,209.84360332140076,213.46085825038216,2018-05-13
19,227,197.0126882835698,210.5848636601731,2018-05-20
20,150,220.6456885723125,220.6456885723125,2018-05-27
21,131,220.6456885723125,208.6136341322201,2018-06-03
22,223,180.54921506389775,220.76043210432107,2018-06-10
23,200,175.18994287265178,218.86687936781294,2018-06-17
24,200,204.40723441376304,204.40723441376304,2018-06-24
25,159,204.40723441376304,198.36971009796596,2018-07-01
26,142,195.9775272491053,215.2131716496736,2018-07-08
27,79,190.31682370487914,214.44983477573277,2018-07-15
28,160,145.68364965263606,145.68364965263606,2018-07-22
29,171,145.68364965263606,157.9342409154348,2018-07-29
30,205,165.5731288665467,178.60418871324862,2018-08-05
31,206,174.22888889491068,177.23752329124733,2018-08-12
