,y_true,y_pred,dates
694,168.0,98.50123,2018-01-07
695,205.0,100.304146,2018-01-14
696,168.0,100.51792,2018-01-21
697,224.0,99.65515,2018-01-28
698,237.0,111.211945,2018-02-04
699,220.0,111.61543,2018-02-11
700,193.0,110.90334,2018-02-18
701,148.0,109.80874,2018-02-25
702,181.0,181.69345,2018-03-04
703,166.0,182.07379,2018-03-11
704,185.0,181.921,2018-03-18
705,217.0,182.39911,2018-03-25
706,167.0,125.218506,2018-04-01
707,179.0,125.83513,2018-04-08
708,191.0,126.0804,2018-04-15
709,147.0,125.84472,2018-04-22
710,219.0,155.83963,2018-04-29
711,178.0,154.6855,2018-05-06
712,183.0,155.1198,2018-05-13
713,227.0,155.10469,2018-05-20
714,150.0,165.22774,2018-05-27
715,131.0,169.24356,2018-06-03
716,223.0,172.71202,2018-06-10
717,200.0,167.97298,2018-06-17
718,200.0,163.11807,2018-06-24
719,159.0,163.0141,2018-07-01
720,142.0,163.87848,2018-07-08
721,79.0,164.54121,2018-07-15
722,160.0,172.64417,2018-07-22
723,171.0,172.90048,2018-07-29
724,205.0,173.16223,2018-08-05
725,206.0,173.73308,2018-08-12
