,y_true,preds,dates
694,168,146.4894621748754,2018-01-07
695,205,205.03784154954394,2018-01-14
696,168,207.49483993603275,2018-01-21
697,224,149.96830433942176,2018-01-28
698,237,216.75855463379813,2018-02-04
699,220,277.8194746796033,2018-02-11
700,193,251.1759606334449,2018-02-18
701,148,179.39597402908524,2018-02-25
702,181,114.42164996916314,2018-03-04
703,166,164.0516016007465,2018-03-11
704,185,206.20091846241957,2018-03-18
705,217,229.19980829409548,2018-03-25
706,167,205.90442988319683,2018-04-01
707,179,127.45519643480105,2018-04-08
708,191,147.6559878876784,2018-04-15
709,147,232.04997621262427,2018-04-22
710,219,175.5183705399739,2018-04-29
711,178,219.91860788182214,2018-05-06
712,183,156.24751752776592,2018-05-13
713,227,167.8843460679103,2018-05-20
714,150,258.2577614665246,2018-05-27
715,131,194.65466129762984,2018-06-03
716,223,115.5320409588587,2018-06-10
717,200,146.2373955852791,2018-06-17
718,200,216.37334996608192,2018-06-24
719,159,264.68015242539434,2018-07-01
720,142,202.0292473738245,2018-07-08
721,79,110.40310876742124,2018-07-15
722,160,32.651240855145716,2018-07-22
723,171,133.8595027015195,2018-07-29
724,205,251.85475658835406,2018-08-05
725,206,261.44472454045274,2018-08-12
