,y_true,y_pred,dates
694,168.0,113.287155,2018-01-07
695,205.0,125.57226,2018-01-14
696,168.0,102.68156,2018-01-21
697,224.0,102.55084,2018-01-28
698,237.0,108.806305,2018-02-04
699,220.0,118.16123,2018-02-11
700,193.0,110.25797,2018-02-18
701,148.0,133.90796,2018-02-25
702,181.0,117.06871,2018-03-04
703,166.0,121.4747,2018-03-11
704,185.0,113.15614,2018-03-18
705,217.0,115.28177,2018-03-25
706,167.0,152.27951,2018-04-01
707,179.0,155.53978,2018-04-08
708,191.0,147.54155,2018-04-15
709,147.0,144.53322,2018-04-22
710,219.0,163.83911,2018-04-29
711,178.0,174.00845,2018-05-06
712,183.0,148.7519,2018-05-13
713,227.0,157.16652,2018-05-20
714,150.0,159.03143,2018-05-27
715,131.0,165.81946,2018-06-03
716,223.0,158.32442,2018-06-10
717,200.0,169.1268,2018-06-17
718,200.0,172.28677,2018-06-24
719,159.0,181.43904,2018-07-01
720,142.0,187.5649,2018-07-08
721,79.0,180.68445,2018-07-15
722,160.0,172.81145,2018-07-22
723,171.0,166.44441,2018-07-29
724,205.0,175.14323,2018-08-05
725,206.0,178.36186,2018-08-12
