,y_true,y_pred,dates
3731,114.0,87.57444,2018-01-07
3732,147.0,87.53401,2018-01-14
3733,157.0,88.49668,2018-01-21
3734,172.0,89.45677,2018-01-28
3735,141.0,90.37024,2018-02-04
3736,151.0,89.12339,2018-02-11
3737,174.0,89.51238,2018-02-18
3738,171.0,90.51368,2018-02-25
3739,207.0,87.22877,2018-03-04
3740,184.0,86.61322,2018-03-11
3741,144.0,87.15445,2018-03-18
3742,142.0,88.18193,2018-03-25
3743,134.0,113.61873,2018-04-01
3744,155.0,111.60085,2018-04-08
3745,159.0,113.178856,2018-04-15
3746,109.0,114.44883,2018-04-22
3747,236.0,123.00932,2018-04-29
3748,227.0,128.49115,2018-05-06
3749,269.0,130.14772,2018-05-13
3750,171.0,132.20673,2018-05-20
3751,110.0,128.58795,2018-05-27
3752,113.0,126.24875,2018-06-03
3753,196.0,124.19563,2018-06-10
3754,227.0,124.90933,2018-06-17
3755,231.0,159.71863,2018-06-24
3756,197.0,161.08171,2018-07-01
3757,189.0,159.61717,2018-07-08
3758,140.0,159.12256,2018-07-15
3759,219.0,147.22945,2018-07-22
3760,191.0,159.2978,2018-07-29
3761,243.0,153.49576,2018-08-05
3762,277.0,161.06612,2018-08-12
