,y_true,preds,dates
3731,114,70.39600875667064,2018-01-07
3732,147,130.8086944590057,2018-01-14
3733,157,177.4784204407553,2018-01-21
3734,172,178.6464539323272,2018-01-28
3735,141,171.15358648187333,2018-02-04
3736,151,139.5556417283428,2018-02-11
3737,174,139.99003881656316,2018-02-18
3738,171,175.67370150996507,2018-02-25
3739,207,166.1792188821207,2018-03-04
3740,184,215.86896364165167,2018-03-11
3741,144,202.13981828715524,2018-03-18
3742,142,141.3244395377619,2018-03-25
3743,134,117.83777314221703,2018-04-01
3744,155,120.40124895798195,2018-04-08
3745,159,158.12065839484694,2018-04-15
3746,109,185.7001615163721,2018-04-22
3747,236,126.94982236148559,2018-04-29
3748,227,220.16353015252864,2018-05-06
3749,269,239.92732515965065,2018-05-13
3750,171,283.47109801647684,2018-05-20
3751,110,183.34937342251033,2018-05-27
3752,113,80.05317251801867,2018-06-03
3753,196,70.74848149498979,2018-06-10
3754,227,209.46455631808163,2018-06-17
3755,231,270.0150968024317,2018-06-24
3756,197,246.1121283042786,2018-07-01
3757,189,184.29500858241587,2018-07-08
3758,140,172.95848742211268,2018-07-15
3759,219,138.69923438212209,2018-07-22
3760,191,222.84163818595772,2018-07-29
3761,243,222.56904670003092,2018-08-05
3762,277,235.50713325941177,2018-08-12
