,y_true,nd_preds,lt_preds,dates
0,114,71.64517205228364,71.64517205228364,2018-01-07
1,147,71.64517205228364,68.958937960186,2018-01-14
2,157,124.01055231851296,78.57385525829741,2018-01-21
3,172,123.43238637097197,70.2737774727565,2018-01-28
4,141,148.38306264903036,148.38306264903036,2018-02-04
5,151,148.38306264903036,129.4638358990842,2018-02-11
6,174,131.92887241302077,149.72166372793748,2018-02-18
7,171,126.08127884685062,123.4298450564209,2018-02-25
8,207,164.24077720587508,164.24077720587508,2018-03-04
9,184,164.24077720587508,156.75097122462182,2018-03-11
10,144,207.32900839501215,168.95847752719504,2018-03-18
11,142,168.75838395381422,156.0315909956728,2018-03-25
12,134,135.78802894206638,135.78802894206638,2018-04-01
13,155,135.78802894206638,148.70285758910194,2018-04-08
14,159,151.91422855365602,168.83204295632322,2018-04-15
15,109,147.57009169053316,163.03588296911886,2018-04-22
16,236,124.01091438588628,124.01091438588628,2018-04-29
17,227,124.01091438588628,117.65999551534333,2018-05-06
18,269,198.0648702708606,125.63094953384302,2018-05-13
19,171,212.96866424307862,127.99092650074948,2018-05-20
20,110,170.041743916269,170.041743916269,2018-05-27
21,113,170.041743916269,178.50419704630798,2018-06-03
22,196,150.2246451535583,181.3029749146546,2018-06-10
23,227,158.44201927278664,183.63381133867205,2018-06-17
24,231,249.07300051539096,249.07300051539096,2018-06-24
25,197,249.07300051539096,235.8531323901713,2018-07-01
26,189,227.39564396167037,225.01902277797865,2018-07-08
27,140,173.64681758123882,185.55570831076142,2018-07-15
28,219,175.66549967825352,175.66549967825352,2018-07-22
29,191,175.66549967825352,192.58361905493547,2018-07-29
30,243,213.04164307247152,227.81355843375843,2018-08-05
31,277,204.67236484954478,219.197763044723,2018-08-12
