,y_true,preds,dates
5539,93,56.386384950895646,2018-01-07
5540,161,104.55106098305933,2018-01-14
5541,150,188.7105526066826,2018-01-21
5542,157,179.74230998444003,2018-01-28
5543,183,156.0759439016473,2018-02-04
5544,172,172.21407063489391,2018-02-11
5545,153,166.144004807739,2018-02-18
5546,170,164.18984362182968,2018-02-25
5547,193,164.58462328811342,2018-03-04
5548,193,192.5956854850909,2018-03-11
5549,192,206.53890279884175,2018-03-18
5550,174,201.36542443413313,2018-03-25
5551,148,165.15387200437812,2018-04-01
5552,164,135.12704484606294,2018-04-08
5553,142,152.62452464546539,2018-04-15
5554,100,159.53180437849306,2018-04-22
5555,170,117.07954673650048,2018-04-29
5556,123,162.42676328780348,2018-05-06
5557,156,131.44066272296064,2018-05-13
5558,139,158.3011393759889,2018-05-20
5559,65,138.71939258143016,2018-05-27
5560,83,57.035655571204266,2018-06-03
5561,75,70.2463933816715,2018-06-10
5562,131,57.61320390557018,2018-06-17
5563,112,136.48509696523115,2018-06-24
5564,105,153.58927433636842,2018-07-01
5565,120,112.43505742275083,2018-07-08
5566,67,101.29998242658263,2018-07-15
5567,94,63.40111685997918,2018-07-22
5568,142,100.60619391657222,2018-07-29
5569,152,151.938795673218,2018-08-05
5570,130,182.42431502447428,2018-08-12
