,y_true,nd_preds,lt_preds,dates
0,93,102.63652541097176,102.63652541097176,2018-01-07
1,161,102.63652541097176,125.21722831295541,2018-01-14
2,150,118.8595607407571,134.8205485715067,2018-01-21
3,157,151.57792104813643,140.5329202493135,2018-01-28
4,183,170.51226172590844,170.51226172590844,2018-02-04
5,172,170.51226172590844,145.81491822109246,2018-02-11
6,153,146.61708927291073,150.1048783624677,2018-02-18
7,170,154.324895222435,148.1131499980615,2018-02-25
8,193,154.9248851735152,154.9248851735152,2018-03-04
9,193,154.9248851735152,162.5557253101597,2018-03-11
10,192,178.1055846832918,168.51844136041956,2018-03-18
11,174,177.32446023312374,163.60812835336725,2018-03-25
12,148,171.61646243584937,171.61646243584937,2018-04-01
13,164,171.61646243584937,176.33787838931948,2018-04-08
14,142,166.81018706366729,176.02655434379886,2018-04-15
15,100,174.4752247712571,181.43960670338726,2018-04-22
16,170,150.91453092646904,150.91453092646904,2018-04-29
17,123,150.91453092646904,169.49638007945765,2018-05-06
18,156,179.61799200853963,181.47018061334506,2018-05-13
19,139,158.84269112336676,191.61130240364128,2018-05-20
20,65,155.28239807435367,155.28239807435367,2018-05-27
21,83,155.28239807435367,177.35494562333002,2018-06-03
22,75,114.96847215384528,176.64966046139483,2018-06-10
23,131,84.64358209485837,175.40278094251718,2018-06-17
24,112,131.63738221253868,131.63738221253868,2018-06-24
25,105,131.63738221253868,135.5355778236086,2018-07-01
26,120,120.74346195220463,133.76989595358287,2018-07-08
27,67,107.7476587314975,131.38037388068847,2018-07-15
28,94,88.71549422435135,88.71549422435135,2018-07-22
29,142,88.71549422435135,94.39169397050235,2018-07-29
30,152,97.83775959076371,86.73931349720928,2018-08-05
31,130,133.24290522296926,99.25838018706156,2018-08-12
