,y_true,y_pred,dates
5539,93.0,80.17133,2018-01-07
5540,161.0,84.42392,2018-01-14
5541,150.0,94.383316,2018-01-21
5542,157.0,94.4148,2018-01-28
5543,183.0,95.37943,2018-02-04
5544,172.0,94.94369,2018-02-11
5545,153.0,94.82776,2018-02-18
5546,170.0,95.257355,2018-02-25
5547,193.0,94.34176,2018-03-04
5548,193.0,94.35848,2018-03-11
5549,192.0,94.42666,2018-03-18
5550,174.0,94.40039,2018-03-25
5551,148.0,113.4213,2018-04-01
5552,164.0,113.43007,2018-04-08
5553,142.0,113.42444,2018-04-15
5554,100.0,113.394615,2018-04-22
5555,170.0,130.75389,2018-04-29
5556,123.0,128.56056,2018-05-06
5557,156.0,129.07812,2018-05-13
5558,139.0,127.963326,2018-05-20
5559,65.0,115.28793,2018-05-27
5560,83.0,115.188705,2018-06-03
5561,75.0,115.46011,2018-06-10
5562,131.0,115.59515,2018-06-17
5563,112.0,126.42009,2018-06-24
5564,105.0,126.52732,2018-07-01
5565,120.0,125.915306,2018-07-08
5566,67.0,126.98773,2018-07-15
5567,94.0,127.59139,2018-07-22
5568,142.0,126.947105,2018-07-29
5569,152.0,128.03693,2018-08-05
5570,130.0,130.06468,2018-08-12
