,y_true,y_pred,dates
5539,93.0,89.145065,2018-01-07
5540,161.0,92.0943,2018-01-14
5541,150.0,87.75176,2018-01-21
5542,157.0,99.91563,2018-01-28
5543,183.0,96.35102,2018-02-04
5544,172.0,92.255714,2018-02-11
5545,153.0,95.05532,2018-02-18
5546,170.0,90.21921,2018-02-25
5547,193.0,108.32541,2018-03-04
5548,193.0,121.281494,2018-03-11
5549,192.0,97.636505,2018-03-18
5550,174.0,107.76476,2018-03-25
5551,148.0,105.23146,2018-04-01
5552,164.0,110.53689,2018-04-08
5553,142.0,108.58519,2018-04-15
5554,100.0,108.64698,2018-04-22
5555,170.0,133.37073,2018-04-29
5556,123.0,130.98651,2018-05-06
5557,156.0,132.7652,2018-05-13
5558,139.0,126.403336,2018-05-20
5559,65.0,136.18774,2018-05-27
5560,83.0,131.85991,2018-06-03
5561,75.0,123.08239,2018-06-10
5562,131.0,117.24884,2018-06-17
5563,112.0,110.71549,2018-06-24
5564,105.0,109.5301,2018-07-01
5565,120.0,92.12667,2018-07-08
5566,67.0,103.85911,2018-07-15
5567,94.0,126.30286,2018-07-22
5568,142.0,128.34209,2018-07-29
5569,152.0,124.87447,2018-08-05
5570,130.0,125.677216,2018-08-12
