,y_true,nd_preds,lt_preds,dates
0,147,-61.170524947173895,-61.170524947173895,2018-01-07
1,155,-61.170524947173895,-58.239719396418856,2018-01-14
2,172,147.346917162664,-98.5028013985835,2018-01-21
3,132,152.85920144811445,-100.46695514786391,2018-01-28
4,85,133.16887177541065,133.16887177541065,2018-02-04
5,73,133.16887177541065,141.6355449987273,2018-02-11
6,126,112.82708794309201,153.35242822102649,2018-02-18
7,131,83.61382345887694,136.83970669614456,2018-02-25
8,151,140.3465070109216,140.3465070109216,2018-03-04
9,161,140.3465070109216,155.48439054780766,2018-03-11
10,118,161.71674385941947,171.22309098701822,2018-03-18
11,140,121.33756099690243,139.73221692036188,2018-03-25
12,133,138.4465739219105,138.4465739219105,2018-04-01
13,143,138.4465739219105,150.9730087457491,2018-04-08
14,130,148.33036790825855,163.43886780708877,2018-04-15
15,121,139.00841345530603,150.92274262289516,2018-04-22
16,193,129.52516815594345,129.52516815594345,2018-04-29
17,135,129.52516815594345,147.3841497307704,2018-05-06
18,203,184.93685444923915,170.6090016734026,2018-05-13
19,171,136.8507805902393,153.65912765181665,2018-05-20
20,89,146.35610261411438,146.35610261411438,2018-05-27
21,87,146.35610261411438,171.66955451048932,2018-06-03
22,74,142.9850395724654,172.65861845994314,2018-06-10
23,97,69.62003729739453,155.5304233243483,2018-06-17
24,88,126.77472337269359,126.77472337269359,2018-06-24
25,127,126.77472337269359,135.30208302063173,2018-07-01
26,96,96.28254393694036,163.88930115742153,2018-07-08
27,41,93.75081584679747,129.46779657210317,2018-07-15
28,115,41.81234175887707,41.81234175887707,2018-07-22
29,130,41.81234175887707,38.96220970024515,2018-07-29
30,163,112.07245228405216,66.69250387129694,2018-08-05
31,143,120.39127382631807,57.269198399622276,2018-08-12
