,y_true,y_pred,dates
3385,147.0,85.58097,2018-01-07
3386,155.0,113.55241,2018-01-14
3387,172.0,97.82371,2018-01-21
3388,132.0,72.409,2018-01-28
3389,85.0,94.090706,2018-02-04
3390,73.0,92.62249,2018-02-11
3391,126.0,86.21276,2018-02-18
3392,131.0,80.24147,2018-02-25
3393,151.0,109.70636,2018-03-04
3394,161.0,86.93644,2018-03-11
3395,118.0,103.06213,2018-03-18
3396,140.0,82.579926,2018-03-25
3397,133.0,105.00241,2018-04-01
3398,143.0,102.66314,2018-04-08
3399,130.0,106.66417,2018-04-15
3400,121.0,105.8758,2018-04-22
3401,193.0,105.13621,2018-04-29
3402,135.0,101.98463,2018-05-06
3403,203.0,112.692,2018-05-13
3404,171.0,103.66755,2018-05-20
3405,89.0,114.14259,2018-05-27
3406,87.0,117.79497,2018-06-03
3407,74.0,102.652405,2018-06-10
3408,97.0,123.55679,2018-06-17
3409,88.0,136.76791,2018-06-24
3410,127.0,127.93503,2018-07-01
3411,96.0,116.40663,2018-07-08
3412,41.0,118.37739,2018-07-15
3413,115.0,109.67285,2018-07-22
3414,130.0,121.233025,2018-07-29
3415,163.0,128.55011,2018-08-05
3416,143.0,127.35498,2018-08-12
