,y_true,y_pred,dates
4237,61.0,61.474506,2018-01-07
4238,84.0,55.477325,2018-01-14
4239,88.0,65.47397,2018-01-21
4240,105.0,59.103886,2018-01-28
4241,86.0,64.51538,2018-02-04
4242,84.0,63.904957,2018-02-11
4243,111.0,66.04331,2018-02-18
4244,117.0,64.75693,2018-02-25
4245,117.0,70.71528,2018-03-04
4246,107.0,67.59776,2018-03-11
4247,91.0,71.85934,2018-03-18
4248,122.0,70.27526,2018-03-25
4249,75.0,79.558975,2018-04-01
4250,90.0,67.09878,2018-04-08
4251,115.0,70.09205,2018-04-15
4252,95.0,68.339226,2018-04-22
4253,169.0,78.44786,2018-04-29
4254,120.0,80.795364,2018-05-06
4255,195.0,81.14055,2018-05-13
4256,185.0,84.06738,2018-05-20
4257,87.0,93.61372,2018-05-27
4258,135.0,91.41379,2018-06-03
4259,173.0,92.94109,2018-06-10
4260,129.0,95.8116,2018-06-17
4261,120.0,90.224846,2018-06-24
4262,153.0,91.361626,2018-07-01
4263,122.0,86.92153,2018-07-08
4264,65.0,84.667244,2018-07-15
4265,118.0,87.562904,2018-07-22
4266,176.0,79.468254,2018-07-29
4267,227.0,84.0297,2018-08-05
4268,194.0,85.954735,2018-08-12
