,y_true,y_pred,dates
4237,61.0,54.887634,2018-01-07
4238,84.0,55.311497,2018-01-14
4239,88.0,56.310543,2018-01-21
4240,105.0,56.849518,2018-01-28
4241,86.0,61.80477,2018-02-04
4242,84.0,61.81322,2018-02-11
4243,111.0,61.89609,2018-02-18
4244,117.0,61.903976,2018-02-25
4245,117.0,69.97083,2018-03-04
4246,107.0,70.05279,2018-03-11
4247,91.0,69.46345,2018-03-18
4248,122.0,68.3806,2018-03-25
4249,75.0,73.7762,2018-04-01
4250,90.0,72.427246,2018-04-08
4251,115.0,72.665054,2018-04-15
4252,95.0,73.48221,2018-04-22
4253,169.0,85.46622,2018-04-29
4254,120.0,87.12726,2018-05-06
4255,195.0,87.097626,2018-05-13
4256,185.0,88.593636,2018-05-20
4257,87.0,79.41121,2018-05-27
4258,135.0,79.7504,2018-06-03
4259,173.0,78.83853,2018-06-10
4260,129.0,78.51243,2018-06-17
4261,120.0,90.14873,2018-06-24
4262,153.0,89.31451,2018-07-01
4263,122.0,90.72957,2018-07-08
4264,65.0,89.51375,2018-07-15
4265,118.0,95.78272,2018-07-22
4266,176.0,95.49349,2018-07-29
4267,227.0,96.18864,2018-08-05
4268,194.0,97.0652,2018-08-12
