,y_true,y_pred,dates
5997,73.0,45.658485,2018-01-07
5998,76.0,47.903446,2018-01-14
5999,74.0,50.654404,2018-01-21
6000,106.0,46.87931,2018-01-28
6001,108.0,66.04735,2018-02-04
6002,79.0,68.264885,2018-02-11
6003,68.0,68.84329,2018-02-18
6004,96.0,62.281013,2018-02-25
6005,106.0,67.75132,2018-03-04
6006,109.0,64.87256,2018-03-11
6007,113.0,67.09532,2018-03-18
6008,105.0,62.33516,2018-03-25
6009,80.0,58.23507,2018-04-01
6010,107.0,57.856277,2018-04-08
6011,81.0,59.97964,2018-04-15
6012,79.0,57.588234,2018-04-22
6013,223.0,72.44363,2018-04-29
6014,199.0,70.81288,2018-05-06
6015,240.0,73.02271,2018-05-13
6016,128.0,73.182846,2018-05-20
6017,61.0,77.536835,2018-05-27
6018,89.0,70.78929,2018-06-03
6019,93.0,78.315926,2018-06-10
6020,140.0,69.805084,2018-06-17
6021,125.0,97.77125,2018-06-24
6022,113.0,106.14521,2018-07-01
6023,86.0,102.0103,2018-07-08
6024,134.0,100.484,2018-07-15
6025,125.0,95.49139,2018-07-22
6026,145.0,98.28738,2018-07-29
6027,150.0,102.302475,2018-08-05
6028,133.0,112.57953,2018-08-12
