,y_true,nd_preds,lt_preds,dates
0,73,68.00391961293678,68.00391961293678,2018-01-07
1,76,68.00391961293678,71.77312933500797,2018-01-14
2,74,75.45961053104729,76.00374118023512,2018-01-21
3,106,69.00239955646543,68.28186199347012,2018-01-28
4,108,106.87579789680223,106.87579789680223,2018-02-04
5,79,106.87579789680223,110.96891106093032,2018-02-11
6,68,111.78366854570314,117.15776732702527,2018-02-18
7,96,75.76317658205144,101.16305526551892,2018-02-25
8,106,88.41375449027865,88.41375449027865,2018-03-04
9,109,88.41375449027865,96.27072005194114,2018-03-11
10,113,105.4303413202584,103.09085267861384,2018-03-18
11,105,100.82101622619935,92.60045758273121,2018-03-25
12,80,111.71401031535292,111.71401031535292,2018-04-01
13,107,111.71401031535292,114.16676013483612,2018-04-08
14,81,94.41121912052341,117.74558340324862,2018-04-15
15,79,104.90647003249083,114.60957653407557,2018-04-22
16,223,91.39589706876653,91.39589706876653,2018-04-29
17,199,91.39589706876653,98.30530552857942,2018-05-06
18,240,162.2878136220181,102.63795906309358,2018-05-13
19,128,171.69984109044782,99.36799701330243,2018-05-20
20,61,142.52969357108893,142.52969357108893,2018-05-27
21,89,142.52969357108893,144.70302976156935,2018-06-03
22,93,100.14131325409609,149.5370549089841,2018-06-10
23,140,96.0306054078647,137.69700504277404,2018-06-17
24,125,143.5044763458373,143.5044763458373,2018-06-24
25,113,143.5044763458373,145.71886395247384,2018-07-01
26,86,135.32477208420244,147.51575781359554,2018-07-08
27,134,118.27370830376351,139.1077147667159,2018-07-15
28,125,143.718151227827,143.718151227827,2018-07-22
29,145,143.718151227827,150.9403648877001,2018-07-29
30,150,140.3996233930719,158.7219645850133,2018-08-05
31,133,127.72855990210209,137.01471001207827,2018-08-12
