,y_true,y_pred,dates
5997,73.0,41.298473,2018-01-07
5998,76.0,41.613987,2018-01-14
5999,74.0,41.720848,2018-01-21
6000,106.0,41.74495,2018-01-28
6001,108.0,62.66017,2018-02-04
6002,79.0,64.30041,2018-02-11
6003,68.0,64.17486,2018-02-18
6004,96.0,62.8142,2018-02-25
6005,106.0,70.39594,2018-03-04
6006,109.0,69.67719,2018-03-11
6007,113.0,69.026215,2018-03-18
6008,105.0,68.43741,2018-03-25
6009,80.0,69.54619,2018-04-01
6010,107.0,67.702156,2018-04-08
6011,81.0,69.59551,2018-04-15
6012,79.0,67.66472,2018-04-22
6013,223.0,71.69031,2018-04-29
6014,199.0,71.57803,2018-05-06
6015,240.0,72.86424,2018-05-13
6016,128.0,71.83474,2018-05-20
6017,61.0,85.157265,2018-05-27
6018,89.0,81.80219,2018-06-03
6019,93.0,80.05088,2018-06-10
6020,140.0,78.99321,2018-06-17
6021,125.0,81.49833,2018-06-24
6022,113.0,81.61873,2018-07-01
6023,86.0,81.334946,2018-07-08
6024,134.0,80.22619,2018-07-15
6025,125.0,108.995094,2018-07-22
6026,145.0,109.397064,2018-07-29
6027,150.0,109.551575,2018-08-05
6028,133.0,109.90803,2018-08-12
